ð ə; the
t ˈ ɒ m; tom
m ˈ ɛ n ʃ ə n d; mentioned
k ɹ ˈ ɪ t ɪ k s; critics
s p ɹ ˈ ɛ d; spread
t ˈ eɪ b ə l; table
s k ˈ ɔː ɹ ɪ ŋ; scoring
g ˈ ɑː d; guard
t w ˈ aɪ s; twice
k ˈ ɒ n s ə t; concert
v ɪ k t ˈ ɔː ɹ ɪə; victoria
b ˈ ɔː l; ball
p ɹ ə v ˈ aɪ d ɪ ŋ; providing
m j uː n ˈ ɪ s ɪ p ə l; municipal
t ˈ ɔː t; taught taut
ˈ æ m; am
d ˈ æ m ɪ dʒ; damage
ˌ ɒ p ə z ˈ ɪ ʃ ə n; opposition
ɪ k s p ˈ ɛ k t ɪ d; expected
h ˈ aʊ s h ˌ əʊ l d; household
ɹ ˈ eɪ l; rail
d ˈ ɪ s t ɹ ɪ k t s; districts
z ˈ əʊ n; zone
ɹ ˌ ɛ v ə l ˈ uː ʃ ə n; revolution
t ˈ ɛ k s t; text
j ˈ ʌ ŋ g ə; younger
b ɪ k ˈ ʌ m z; becomes
w ˈ ɪ n d əʊ z; windows
ɪ l ˈ ɛ k t ɹ ɪ k; electric
n ˈ ɒ m ɪ n ˌ eɪ t ɪ d; nominated
b ˈ ɑː; bar
s ə ɹ ˈ aʊ n d ɪ ŋ; surrounding
ˈ ɒ ɹ ɪ dʒ ɪ n; origin
f ˈ aɪ n; fine
g ˈ ɑː d ə n; garden
l ˈ eɪ d i; lady
v ˈ əʊ t s; votes
b ˈ eɪ s ɪ k; basic
ɹ ɪ p ˈ ɔː t s; reports
aɪ d ˈ ɛ n t ɪ f ˌ aɪ d; identified
l ˈ ɪ b ɹ ə l; liberal
b ˈ ɔɪ; boy buoy
m ˌ æ s ə tʃ ˈ uː s ɪ t s; massachusetts
f ə s ˈ ɪ l ɪ t i; facility
ʃ ˈ ɛə; share
p ˈ ɒ p; pop
v ˈ ɜː ʒ ə n z; versions
ˈ ɒ f ə; offer
j uː n ˈ iː k; unique
b ˈ ɜː θ; berth birth
n ˈ əʊ t; note
ɹ ɪ d j ˈ uː s t; reduced
s k ˈ ɒ t; scot scott
k ˈ ɛ p t; kept
k l ˈ eɪ m z; claims
p ˈ eɪ n t ɪ ŋ; painting
b ˈ ɛ ɹ i d; buried
s ˈ aɪ ə n s ɪ z; sciences
p ˈ eɪ d; paid
s ˈ ɛ z; says
d ɪ z ˈ iː z; disease
d ˈ iː p; deep
f ˈ ɛ l t; felt
ɹ ˌ ɛ p ɹ ɪ z ˈ ɛ n t ə t ɪ v; representative
b ˈ ɒ k s; box
ɹ ˈ æ ŋ k t; ranked
l ˈ uː z ɪ ŋ; losing
n ˈ eɪ ʃ ə n; nation
g ɹ ˈ ɑː n t ɪ d; granted
ɹ ɪ t ˈ ɜː n ɪ ŋ; returning
ɹ ɪ z ˈ ʌ l t ɪ ŋ; resulting
s ˈ ɪ m p l i; simply
s p l ˈ ɪ t; split
l ˈ ɜː n ɪ ŋ; learning
b ɪ j ˈ ɒ n d; beyond
k l ˈ ɑː s ɪ z; classes
m ˈ ɛ d ɪ s ɪ n; medicine
ɹ ˈ iː d ɪ ŋ; reading
ˈ ɪ m ɪ dʒ; image
t ɹ ˈ eɪ n z; trains
ˈ əʊ n ə; owner
ə f ˈ ɪ ʃ ə l z; officials
g ɹ ˈ ɑː n t; grant
g ˈ əʊ z; goes
s ˈ ʌ m θ ɪ ŋ; something
t ˈ ɛ l z; tells
b ɜː l ˈ ɪ n; berlin
ɪ n v ˌ aɪ ɹ ə n m ˈ ɛ n t ə l; environmental
m ə ʃ ˈ iː n; machine
dʒ ˈ æ z; jazz
f ɹ ˈ iː d ə m; freedom
ɹ ˈ iː dʒ ə n z; regions
ʃ ˈ əʊ d; showed
s ˈ æ n t ə; santa
l ˈ ɔː z; laws
n j ˈ uː l i; newly
f ˈ iː l d z; fields
d ˈ ɒ k t ə; doctor
p ə f ˈ ɔː m ɪ ŋ; performing
ɹ ɪ s ˈ iː v; receive
p ɹ ə m ˈ əʊ ʃ ə n; promotion
s ə dʒ ˈ ɛ s t ɪ d; suggested
s p ˈ ɔː t; sport
s ˈ ɛ l; cell sell
h ˈ ɒ ŋ; hong
k ˌ ɒ n s t ɪ t j ˈ uː ʃ ə n; constitution
s ˈ ɛ m ə t ɹ i; cemetery
d ɪ v ˈ ɛ l ə p; develop
m ə t ˈ ɪə ɹ ɪə l z; materials
t ɹ ˈ aɪ d; tried
m ˈ aɪ l; mile
s ˈ ɪ k s θ; sixth
p l ˈ æ n ɪ ŋ; planning
s ˈ ʌ b s ɪ k w ə n t; subsequent
g ˈ ɪ v z; gives
v ˈ ɪ l ɪ dʒ ɪ z; villages
f ˈ aʊ n d ə; founder
l ˈ eɪ b ə; labor labour
ə b t ˈ eɪ n d; obtained
h ˈ ɔː s; hoarse horse
θ ˈ iː m; theme
d ˈ ɛ z ɪ g n ˌ eɪ t ɪ d; designated
f ˈ ɪ n ɪ ʃ; finish finnish
p ɹ ˈ aɪ s; price
ˈ ɛ f ə t; effort
k ˈ æ n ɒ t; cannot
t ɹ ə d ˈ ɪ ʃ ə n; tradition
p ˌ ʌ b l ɪ k ˈ eɪ ʃ ə n; publication
k ˈ ɒ ŋ; kong
b ɹ ɪ g ˈ eɪ d; brigade
ɪ n s p ˈ aɪ ə d; inspired
s ˈ iː t s; seats
s w ˈ iː d ɪ ʃ; swedish
p ˈ ɜː p ə s; purpose
ə l ˈ aʊ z; allows
ɔː θ ˈ ɒ ɹ ɪ t i z; authorities
p ˈ æ l ɪ s; palace
ɪ l ˈ ɪ z ə b ə θ; elizabeth
ə t ˈ æ k s; attacks
s ə k s ˈ iː d ɪ d; succeeded
k ə m p l ˈ iː t l i; completely
ɔː l t ˈ ɜː n ə t ɪ v; alternative
k ˈ æ n s ə; cancer
ɪ m p ˈ ɪə ɹ ɪə l; imperial
ˈ ɪ n t ə n ˌ ɛ t; internet
f ˈ eɪ m; fame
l ˈ ɛ t ə z; letters
m ˈ ɜː d ə; murder
k ə n ˈ ɛ k t ɪ d; connected
ɹ ˈ əʊ m; roam rome
ə tʃ ˈ iː v d; achieved
k ɹ ˈ aɪ m; crime
ɒ n t ˈ ɛə ɹ ɪ əʊ; ontario
dʒ ˈ əʊ; jo joe
f ˌ ɪ l ə d ˈ ɛ l f ɪə; philadelphia
f ˈ ʌ n d ɪ ŋ; funding
l ɛ f t ˈ ɛ n ə n t; lieutenant
b ɪ g ˈ ɪ n z; begins
tʃ ˈ əʊ z ə n; chosen
f ˈ ʊ l i; fully
t ə ɹ ˈ ɒ n t əʊ; toronto
p ˈ ɑː k ɪ s t ˌ ɑː n; pakistan
s k w ˈ ɒ d; squad
l ˈ ɪ t ə ɹ ə ɹ i; literary
ˈ ɪ n t ə v j ˌ uː; interview
ə t l ˈ æ n t ɪ k; atlantic
ˈ æ n ɪ m ə l z; animals
s ˈ ɛ l z; cells sells
ˈ ɪ ŋ k; inc ink
dʒ ˌ ɛ n ə ɹ ˈ eɪ ʃ ə n; generation
b ˈ ɔɪ z; boys buoys
f ˈ ɪ g ə z; figures
s ˌ ɪ tʃ ʊ ˈ eɪ ʃ ə n; situation
k ˈ ʌ p ə l; couple
ɪ g z ˈ ɪ s t ɪ ŋ; existing
k ə n f ˈ ɜː m d; confirmed
k ˈ æ t ɪ g ə ɹ i; category
k ə n s ˈ ɜː v ə t ɪ v; conservative
tʃ ˈ æ l ɪ n dʒ; challenge
d ɪ f ˈ aɪ n d; defined
ˈ ɑː m d; armed
l ˈ ɛ dʒ ɪ s l ə t ɪ v; legislative
b ɹ ə z ˈ ɪ l; brazil
k ə n v ˈ ɛ n ʃ ə n; convention
ɹ ˈ ɛ l ə t ɪ v l i; relatively
f ˈ ɔː l z; falls
b ɹ ˈ ɒ n z; bronze
v ˈ ɒ l j uː m; volume
ˈ ɪ n dʒ ə ɹ i; injury
k l ˈ æ s ɪ k ə l; classical
ɪ g z ˈ ɑː m p ə l z; examples
ˌ ɛ d j ʊ k ˈ eɪ ʃ ə n ə l; educational
b ˈ ɪ l j ə n; billion
b ɹ ˈ ɪ ŋ; bring
ɹ ˈ iː z ə n; reason
v ˈ ɪ z ɪ t; visit
k ə ɹ ˈ iː ə; korea
ɹ ˈ iː d; read reed
m ˈ ɑː k t; marked
ɹ ɪ l ˈ ɪ dʒ ə n; religion
k l ˈ æ s ɪ k; classic
s ə p l ˈ aɪ; supply
ə l ˈ aʊ ɪ ŋ; allowing
ˈ æ k t s; acts
k ˈ ɒ m b ˌ æ t; combat
b ɹ ˈ eɪ k; brake break
s ˈ eɪ; say
f ˈ æ k ə l t i; faculty
l ˈ ʊ k; look
ˈ əʊ l d ɪ s t; oldest
v ˈ aɪ s; vice
t ɹ æ n s f ˈ ɜː; transfer
f ɹ ˈ iː k w ə n t l i; frequently
m ˈ ɛ θ ə d z; methods
t ˈ aʊ n z; towns
ˈ eɪ dʒ ə n t; agent
m ˈ ɛ m ə ɹ i; memory
p ɹ ˈ ɒ p ə t i z; properties
ɛ n t ˈ aɪ t ə l d; entitled
ˈ ɔː k ɪ s t ɹ ə; orchestra
ɹ ˈ ɛ f ɹ ə n s; reference
s ˈ ɛ t ə l d; settled
s t ˈ iː l; steal steel
b ˈ ɔː t; bought
f ˈ æ n z; fans
ˈ ɑː t ɪ k ə l z; articles
n ˈ ɛ ð ə l ə n d z; netherlands
g ˈ æ l ə ɹ i; gallery
s ˈ ɪ m p ə l; simple
ʌ n ˈ eɪ b ə l; unable
s ˈ aɪ d z; sides
h ˈ əʊ l d z; holds
p ˈ ɔː ʃ ə n; portion
ˈ əʊ ʃ ə n; ocean
g ˈ ʌ n; gun
n ˌ ɔː θ w ˈ ɛ s t; north-west northwest
m ˈ aɪ k; mike
ʌ n n ˈ əʊ n; unknown
k l ˈ eɪ m; claim
s ˈ ɛ k ʃ ʊə l; sexual
ˈ ɔː d ɪə n s; audience
ɹ ɪ f j ˈ uː z d; refused
t ɹ ˈ ʌ s t; trust
s t ˈ ɑː ɹ ɪ ŋ; starring
n ˈ ɛ s ə s ə ɹ i; necessary
p ˈ ɜː m ə n ə n t; permanent
s ˈ iː k ɹ ɪ t; secret
s ˈ ɜː tʃ; search
s ˈ ɜː n ˌ eɪ m; surname
k ɹ iː ˈ eɪ t ɪ ŋ; creating
p ɹ ˌ ɛ z ɪ d ˈ ɛ n ʃ ə l; presidential
g ˈ ɛ s t; guest
p ˈ iː k; peak peek
k ə ɹ ˈ iː ə n; korean
n j ˈ uː k l ɪə; nuclear
n ˈ ɔː m ə l; normal
ɹ ɪ t ˈ aɪ ə m ə n t; retirement
t ɹ ˌ æ n s p ə t ˈ eɪ ʃ ə n; transportation
s ˌ aʊ θ ˈ iː s t; south-east southeast
ˌ ɛ k s ɪ b ˈ ɪ ʃ ə n; exhibition
w ˈ ɜː l d w aɪ d; worldwide
ˌ ɪ n s t ɪ t j ˈ uː ʃ ə n z; institutions
s ˈ ɪ t ɪ z ə n z; citizens
ˈ ʌ l t ɪ m ɪ t l i; ultimately
ɪ k s p ˈ æ n ʃ ə n; expansion
k ˈ ɒ n f l ɪ k t; conflict
ɹ ˈ æ ŋ k; rank
p ˌ ɜː s ə n ˈ ɛ l; personnel
ɹ ˈ ɪ s k; risk
ˌ æ p l ɪ k ˈ eɪ ʃ ə n; application
ɪ f ˈ ɛ k t ɪ v; effective
k ˈ ʌ v ə z; covers
v ˈ iː ɪ k ə l z; vehicles
p ˈ aʊ ə z; powers
ə ɹ ˈ ɛ s t ɪ d; arrested
s t ˈ ɔː m; storm
k ɹ ˈ aʊ n; crown
ə t ˈ ɛ m p t s; attempts
ʌ n l ˈ aɪ k; unlike
ɪ n t ˈ ɪə ɹ ɪə; interior
ɹ ˈ ɪ ŋ; ring wring
k ˈ ɒ m; com
s ə p ˈ ɔː t ɪ ŋ; supporting
p ˈ ɑː t n ə; partner
s t ˈ ɒ k; stock
t ɹ ˈ iː z; trees
b ɹ ˈ əʊ k; broke
f ˌ ɛ d ə ɹ ˈ eɪ ʃ ə n; federation
k ˈ aɪ n d; kind
ɪ k s t ˈ ɛ n s ɪ v; extensive
h ˈ əʊ l i; holy wholly
ˈ ɒ k s f ə d; oxford
f l ˈ aɪ ɪ ŋ; flying
w ˈ ɒ n t; want
f ɪ l ˈ ɒ s ə f i; philosophy
b ɹ ˈ æ n d; brand
p ˈ əʊ ɪ t ɹ i; poetry
s ˈ ɒ k ə; soccer
tʃ ˈ ɔɪ s; choice
m ˈ iː t ə z; meters metres
s ˈ ɛ n s; sense
ɪ n t ˈ ɛ l ɪ dʒ ə n s; intelligence
g ɹ ˈ æ d j ʊ ˌ eɪ t; graduate
ə l ˈ aɪ ə n s; alliance
k ɹ ˈ ɪ s; chris
m ˈ ɪ s; miss
d ˌ ɒ k j ʊ m ˈ ɛ n t ə ɹ i; documentary
j ˈ ɛ l əʊ; yellow
p ə f ˈ ɔː m; perform
ˈ ɛ n t ɹ i; entry
k ˈ ɒ p i z; copies
f ˈ eɪ z; phase
f ˈ ʌ n d; fund
ɹ ˌ ɛ k ə g n ˈ ɪ ʃ ə n; recognition
s ˈ ɛ t s; sets
m ˈ æ k s ɪ m ə m; maximum
h ˈ æ n d z; hands
k ˈ ɒ m j ʊ n ɪ s t; communist
ˌ æ g ɹ ɪ k ˈ ʌ l tʃ ə ɹ ə l; agricultural
d ɹ ˈ ʌ g; drug
ɛ m p l ˈ ɔɪ d; employed
ˈ ɒ k j ʊ p ˌ aɪ d; occupied
s t ˈ æ n d ə d z; standards
dʒ ˈ æ k s ə n; jackson
s ˈ aɪ n; sign
v ˈ ɪ z ɪ t ɪ d; visited
ə t ˈ ɛ m p t ɪ d; attempted
s ˈ ɛ k t ə; sector
s w ˈ iː d ə n; sweden
ˈ ɒ f ɪ s ɪ z; offices
p ɹ ə v ˈ ɪ n ʃ ə l; provincial
p ɹ ɪ v ˈ ɛ n t; prevent
ɹ ˈ aɪ z; rise
ɪ n t ˈ ɜː n ə l; internal
d ə m ˈ ɛ s t ɪ k; domestic
ɹ ɪ s ˈ iː v ɪ ŋ; receiving
ə p ɹ ˈ uː v d; approved
d ˈ əʊ n t; don't
ˈ ɛ dʒ; edge
ˈ æ k ʃ ə n z; actions
f ˈ ɒ k s; fox
d ɹ ˈ ɒ p t; dropped
n ˈ iː d z; needs
p ˈ aʊ ə f ə l; powerful
l ˈ ɒ t; lot
ə t ˈ æ k t; attacked
ə d ˈ ʌ l t; adult
l ˈ ɪ ɹ ɪ k s; lyrics
ə p ˈ əʊ z d; opposed
s ˈ ɛ k s; sex
f ˈ æ k t ə ɹ i; factory
h ˈ əʊ l d ɪ ŋ; holding
h ˈ ɪ l z; hills
t ɹ ˈ ɒ p ɪ k ə l; tropical
w ˈ eɪ z; ways
s ˈ ɛ t ɪ ŋ; setting
m ˈ æ t ə; matter
ɪ n k ɹ ˈ iː s ɪ ŋ; increasing
ʃ ˈ ɛə d; shared
ˌ æ p l ɪ k ˈ eɪ ʃ ə n z; applications
g ˈ ʌ n z; guns
b ɹ ˈ ɔː d k ˌ ɑː s t ɪ ŋ; broadcasting
b ˈ əʊ l; bowl
t ɹ ˈ iː t i; treaty
v ˈ iː ɪ k ə l; vehicle
b ˈ æ d; bad
ɪ n v ˌ ɛ s t ɪ g ˈ eɪ ʃ ə n; investigation
s t ˈ iː v; steve
k w ˈ ɔː t ə; quarter
s ˈ ʌ m w ˌ ʌ n; someone
g ɹ ˈ eɪ t ɪ s t; greatest
n ˌ ɔː θ ˈ iː s t; north-east northeast
s ˈ ʌ n d i; sunday
l ˈ ɔː n tʃ; launch
w ˈ ɪ l s ə n; wilson
b ˈ iː t; beat
f ˈ ɪ k ʃ ə n; fiction
l əʊ k ˈ eɪ ʃ ə n z; locations
ɪ n k ˈ ɔː p ə ɹ ˌ eɪ t ɪ d; incorporated
ɪ s t ˈ æ b l ɪ ʃ m ə n t; establishment
s p ɪ s ˈ ɪ f ɪ k l i; specifically
s t j ˈ uː d ɪ ˌ əʊ z; studios
s t ˈ eɪ; stay
w ˈ ɔː l z; walls
k ə n v ˈ ɜː t ɪ d; converted
w ˈ iː k l i; weekly
p ɹ ˈ əʊ g ɹ ˌ æ m ɪ ŋ; programming
f ˈ ʌ ŋ k ʃ ə n z; functions
ˈ ɛ n d ɪ ŋ; ending
d ˈ æ n j ə l; daniel
ˈ æ n ɪ m ə l; animal
ˈ ɑː θ ə; arthur
b ˈ ɒ b; bob
ɹ ˈ iː z ə n z; reasons
ˈ ɑː k ɪ t ˌ ɛ k t; architect
f ɹ ˈ ɑː n s ɪ s; francis
k ɹ ˈ ɪ m ɪ n ə l; criminal
dʒ ˈ ɪ m; gym jim
s t ɹ ˈ ʌ k tʃ ə z; structures
m ˌ ɛ t ɹ ə p ˈ ɒ l ɪ t ə n; metropolitan
aɪ d ˈ ɛ n t ɪ t i; identity
m ˈ ɛ n t; meant
k ə n s t ˈ ɪ tʃ ʊə n s i; constituency
b j ˈ ʊə ɹ əʊ; bureau
k ə n d ˈ ɪ ʃ ə n; condition
tʃ ˈ ɜː tʃ ɪ z; churches
k ə m j ˌ uː n ɪ k ˈ eɪ ʃ ə n z; communications
d ɪ v ˈ ɛ l ə p ɪ ŋ; developing
ɹ ˌ ɛ p ɹ ɪ z ˈ ɛ n t; represent
d ɪ t ˈ ɜː m ɪ n d; determined
k ə n t ɹ ˈ ɪ b j uː t ɪ d; contributed
ɹ ˌ ɛ p ɹ ɪ z ˈ ɛ n t ɪ ŋ; representing
b ˈ æ n d z; bands
ˈ ɒ n t uː; onto
p ˈ əʊ p; pope
ɛ g z ˈ ɪ s t ə n s; existence
ɹ ˈ əʊ d z; roads
p ˈ iː s ɪ z; pieces
l ˈ ɛ t; let
s p ˈ iː tʃ; speech
f ˈ ʌ n d z; funds
k ə n t ˈ æ k t; contact
s l ˈ aɪ t l i; slightly
k ˈ eɪ p; cape
s ˈ ɛ n tʃ ə ɹ i z; centuries
b ɪ g ˈ ɪ n; begin
k w ˈ ɛ s tʃ ə n; question
m ˈ əʊ b aɪ l; mobile
w ˈ aɪ l d; wild
ɹ ɪ f ˈ ɜː z; refers
d ə ɹ ˈ aɪ v d; derived
ˈ eɪ d; aid aide
ɪ k s p ɹ ˈ ɛ s; express
m ˈ ɪ l; mil mill
b ˈ æ s; bass
k ˈ ɒ n t ɛ s t; contest
ˈ ɛ n d z; ends
k w ˈ ɒ l ɪ f ˌ aɪ d; qualified
ˈ ɛ n ə m i; enemy
t ˈ eɪ l ə; tailor taylor
k ə n t ˈ eɪ n ɪ ŋ; containing
k ə n ˈ ɛ k ʃ ə n; connection
ɹ ˈ ɛ s l ɪ ŋ; wrestling
k ə n ˈ æ l; canal
ˈ æ n d ɹ uː; andrew
p ˈ ʌ b l ɪ ʃ ɪ ŋ; publishing
f ˈ əʊ k ə s t; focused
w ˈ ɪ n z; wins
æ θ l ˈ ɛ t ɪ k; athletic
ə k ˈ ɜː z; occurs
p ˈ aɪ l ə t; pilot
ɹ ˈ ɛə; rare
w ˈ eɪ t; wait weight
m ə ɹ ˈ iː ə; maria
k ˈ ɔː n ə; corner
ɹ ɪ g ˈ ɑː d ɪ ŋ; regarding
g l ˈ ɑː s; glass
p ˈ ɛə; pair pare pear
s ˈ ɜː k ɪ t; circuit
d ˈ uː ɪ ŋ; doing
ˈ ɪ n f l ʊə n s t; influenced
k ˈ əʊ; co
k ˌ ɒ m p ə z ˈ ɪ ʃ ə n; composition
p ˌ ʌ b l ɪ k ˈ eɪ ʃ ə n z; publications
ɪ n v ˈ aɪ t ɪ d; invited
b ˈ əʊ t; boat
w ˈ ɛ p ə n z; weapons
ɹ ˈ aɪ t ə z; writers
f ˈ eɪ s t; faced
ɪ l ˌ ɛ k t ɹ ˈ ɒ n ɪ k; electronic
θ ˈ ɪ ŋ k; think
b ɪ l ˈ iː v; believe
s ə k s ˈ ɛ s f ə l i; successfully
ˌ ɛ n dʒ ɪ n ˈ ɪə; engineer
d ˈ eɪ v ɪ s; davis
ə b ˈ æ n d ə n d; abandoned
k ˈ æ n z ə s; kansas
s t ˈ æ n d; stand
ˈ ɛ n t ɹ ə n s; entrance
m ˌ ɪ n ɪ s ˈ əʊ t ə; minnesota
w ˈ aɪ; why wy
ˈ ɛ d j ʊ k ˌ eɪ t ɪ d; educated
w ˈ ɪ n d; wind
ɪ s k ˈ eɪ p; escape
d ɪ s p l ˈ eɪ; display
m ˈ ɛ k s ɪ k ə n; mexican
k ˈ æ n d ɪ d ɪ t s; candidates
p ˈ ɑː s ɪ ŋ; passing
t w ˈ ɛ l v; twelve
s ˌ aʊ θ w ˈ ɛ s t; south-west southwest
k ˈ aʊ n t; count
h ˈ iː t; heat
h ˈ aɪ t; height
b ˈ ɜː d z; birds
n ˌ ɔː w ˈ iː dʒ ə n; norwegian
f ˈ ɪ n ɪ ʃ ɪ ŋ; finishing
p ˈ æ s ə n dʒ ə; passenger
t ˈ ɑː g ɪ t; target
f ˈ aɪ n d z; finds
s ˈ ɪə ɹ ɪə s; serious
ʃ ˈ ɛ dʒ uː l d; scheduled
p ɹ ˈ uː v d; proved
ə m ˈ ɛ ɹ ɪ k ə n z; americans
ɹ ˈ ɪə; rear
ˈ eɪ dʒ d; aged
p ˈ eɪ dʒ; page
s ə v ˈ eɪ; survey
tʃ ˈ æ p ə l; chapel
k ə θ ˈ iː d ɹ ə l; cathedral
n ˈ ʌ θ ɪ ŋ; nothing
v j ˈ uː z; views
l ˈ æ n d z; lands
k ˈ ɪ l; kill
s k ˈ eɪ l; scale
s t ˈ æ n d ɪ ŋ; standing
ɹ ɪ f ˈ ɔː m; reform
t ə w ˈ ɔː d; toward
s ˈ ɔː t; sort sought
ɪ m p ˈ ɔː t ə n s; importance
d ˈ ɪ n ə s t i; dynasty
s ɪ l ˈ ɛ k ʃ ə n; selection
k w ˈ aɪ t; quite
k ə m p ˈ əʊ z ə; composer
t ˈ ɛ n ɪ s; tennis
k ˈ æ ɹ i; carrie carry
ˈ æ g ɹ ɪ k ˌ ʌ l tʃ ə; agriculture
v ˈ aɪ ə l ə n s; violence
t ˈ ɛ m p ɹ ə tʃ ə; temperature
m ˈ ɒ s k ˌ əʊ; moscow
f ˈ eɪ l j ə; failure
ˈ ɔː d ə z; orders
h ɜː s ˈ ɛ l f; herself
ɪ k s t ˈ ɜː n ə l; external
f ˈ aɪ n ə l z; finals
m ˈ ɛ l b ə n; melbourne
k ˈ eɪ m b ɹ ɪ dʒ; cambridge
k ə n t ˈ eɪ n d; contained
ə k ˈ ɜː; occur
p ɪ ˈ æ n əʊ; piano
k ə m j ˌ uː n ɪ k ˈ eɪ ʃ ə n; communication
s ˈ ɛ ɹ ɪ m ə n i; ceremony
h ˈ ɛ v ɪ l i; heavily
m ˈ æ n tʃ ɪ s t ə; manchester
dʒ ˈ uː z; jews
m ɪ z ˈ ʊə ɹ i; missouri
k ɹ ˈ ɪ s m ə s; christmas
h ˈ ɜː d; heard herd
d ˈ ɛ k eɪ d z; decades
s t ɹ ˈ eɪ t; straight
k ˈ ɑː d; card
ˌ ɪ n s t ɪ t j ˈ uː ʃ ə n; institution
dʒ ˈ ɜː n ə l ɪ s t; journalist
h ˈ əʊ m z; holmes homes
l ˈ əʊ n; loan lone
m ˈ ʌ z l ɪ m; muslim
h ˈ ʌ n d ɹ ə d; hundred
ɪ k s p ɹ ˈ ɛ s t; expressed
aɪ d ˈ ɪə z; ideas
ˌ ɪ n t ɹ ə d ˈ ʌ k ʃ ə n; introduction
t ɹ ˈ aɪ ŋ; trying
ˈ ɪ n s ɪ d ə n t; incident
ˈ ɛ t; et
b ˈ ɛ l; bell belle
ɹ ˈ ɪə l i; really
ɪ n h ˈ æ b ɪ t ə n t s; inhabitants
ɹ ˈ iː tʃ ɪ ŋ; reaching
m eɪ n t ˈ eɪ n d; maintained
s ˈ ɪ g n ə l; signal
p ɹ ə d j ˈ uː s ɪ ŋ; producing
ɪ n v ˈ eɪ ʒ ə n; invasion
ɹ ɪ z ˈ ɪ s t ə n s; resistance
s ˈ eɪ l; sail sale
ə d v ˈ ɑː n s; advance
f j ˈ uː ə l; fuel
p ˈ əʊ ɪ t; poet
ɹ ˈ ɪ tʃ; rich
ˌ ɒ p ə t j ˈ uː n ɪ t i; opportunity
k ˌ ɒ n s ə v ˈ eɪ ʃ ə n; conservation
ʃ ˈ eɪ p; shape
ˌ ɪ n d ɪ ˈ æ n ə; indiana
k ˈ ɛ m ɪ k ə l; chemical
p ˈ eɪ ʃ ə n t s; patients
f ˈ æ ʃ ə n; fashion
ɪ n v ˈ ɛ s t m ə n t; investment
k ˈ ɔː s ɪ z; courses
ɹ ˈ ɛ dʒ ɪ s t ə d; registered
p ɹ ə t ˈ ɛ k t; protect
n ˈ ɔː w ˌ eɪ; norway
m ˈ aɪ n d; mind
ɹ ˈ uː f; roof
k ˈ əʊ l d; cold
ɪ g z ˈ ɪ s t; exist
f ˈ ɪ l ɪ p ˌ iː n z; philippines
h ˈ ɪ t s; hits
m ˈ əʊ t ə; motor
m ˈ əʊ ʃ ə n; motion
k ə n s ˈ ɛ k j ʊ t ɪ v; consecutive
f ˈ ɒ l əʊ; follow
v j ˌ ɛ t n ˈ æ m; vietnam
k ə l ˈ əʊ n ɪə l; colonial
b ˈ ʌ dʒ ɪ t; budget
k ˈ ɔː l z; calls
p ˈ ɒ s ɪ b l i; possibly
k ˈ ɜː n ə l; colonel kernel
p ˈ ɑː s ɪ z; passes
s t ˈ iː v ə n; stephen steven
k ˈ ɒ m ɪ k; comic
l ˈ eɪ d; laid
p ɹ ə m ˈ əʊ t; promote
p ə h ˈ æ p s; perhaps
h ɪ s t ˈ ɔː ɹ ɪə n; historian
ɪ k s t ˈ ɛ n ʃ ə n; extension
l ˈ uː ɪ s; lewis
b ɹ ˈ əʊ k ə n; broken
p ˈ ɑː t n ə ʃ ˌ ɪ p; partnership
t ˈ əʊ n i; tony
ɪ n g ˈ eɪ dʒ d; engaged
t ˌ ɛ n ə s ˈ iː; tennessee
tʃ ˈ eɪ m b ə; chamber
ə v ˈ ɔɪ d; avoid
k l ˈ əʊ s l i; closely
d ɪ s t ˈ ɪ ŋ g w ɪ ʃ t; distinguished
t ˈ ɪ p ɪ k ə l; typical
s k ˈ ɪ l z; skills
m ˈ aɪ n; mine
j ˈ uː z ə z; users
s k ɹ ˈ iː n; screen
h ˈ æ ɹ i; harry
d ˈ eɪ t s; dates
k ˈ ɔː z ɪ z; causes
ɹ ˈ ɛ z ɪ d ə n s; residence
v ˈ əʊ t ɪ d; voted
ˈ ɜː l; earl
h ˈ aɪ ə d; hired
p ˌ ɔː tʃ ʊ g ˈ iː z; portuguese
k ˌ ɒ l ə ɹ ˈ ɑː d əʊ; colorado
k ə l ˈ ɛ k t ɪ d; collected
s ˈ iː n z; scenes
k ə n s ˈ ɪ s t ɪ ŋ; consisting
ɛ m p l ˈ ɔɪ i z; employees
t ˈ ɜː k i; turkey
b ˈ æ ŋ k s; banks
ɪ n t ˈ aɪ ə l i; entirely
t ɹ ˈ eɪ l; trail
s ˈ ɪ ŋ ɪ ŋ; singing
dʒ ˈ ɔɪ n ɪ ŋ; joining
d ˈ aʊ n t ˌ aʊ n; downtown
ɹ ɪ z ˈ aɪ n d; resigned
s t ɹ ˈ iː t s; streets
n ˈ ɛ g ə t ɪ v; negative
t ɹ ˈ eɪ n d; trained
ˈ ɛ n dʒ ɪ n z; engines
v ˈ ɪ ʒ ʊə l; visual
s t ˈ ɑː t s; starts
dʒ ˈ ʌ ŋ k ʃ ə n; junction
n ˈ əʊ t ə b l i; notably
ˈ æ d; ad add
ɪ m p ɹ ˈ uː v d; improved
j ˌ uː n ɪ v ˈ ɜː s ɪ t i z; universities
