'cos; k ˈ ə z
licensing; l ˈ aɪ s ə n s ɪ ŋ
lichtenstein; l ˈ ɪ k t ə n s t ˌ aɪ n
lick; l ˈ ɪ k
licking; l ˈ ɪ k ɪ ŋ
lid; l ˈ ɪ d
lie; l ˈ aɪ
liechtenstein; l ˈ ɪ k t ə n s t ˌ aɪ n
lied; l ˈ aɪ d
lies; l ˈ aɪ z
lieu; l j ˈ uː
lieu; l ˈ uː
lieutenant; l ɛ f t ˈ ɛ n ə n t
life; l ˈ aɪ f
lifespan; l ˈ aɪ f s p ˌ æ n
lifestyle; l ˈ aɪ f s t ˌ aɪ l
lifetime; l ˈ aɪ f t ˌ aɪ m
lift; l ˈ ɪ f t
lifted; l ˈ ɪ f t ɪ d
lifting; l ˈ ɪ f t ɪ ŋ
light; l ˈ aɪ t
lighted; l ˈ aɪ t ɪ d
lighter; l ˈ aɪ t ə
lighting; l ˈ aɪ t ɪ ŋ
lightly; l ˈ aɪ t l i
lightning; l ˈ aɪ t n ɪ ŋ
lights; l ˈ aɪ t s
lightweight; l ˈ aɪ t w ˌ eɪ t
like; l ˈ aɪ k
likeable; l ˈ aɪ k ə b ə l
liked; l ˈ aɪ k t
likelihood; l ˈ aɪ k l ɪ h ˌ ʊ d
likely; l ˈ aɪ k l i
liken; l ˈ aɪ k ə n
likes; l ˈ aɪ k s
likewise; l ˈ aɪ k w ˌ aɪ z
lilac; l ˈ aɪ l ə k
lily; l ˈ ɪ l i
limb; l ˈ ɪ m
limbo; l ˈ ɪ m b əʊ
limbs; l ˈ ɪ m z
lime; l ˈ aɪ m
limit; l ˈ ɪ m ɪ t
limitation; l ˌ ɪ m ɪ t ˈ eɪ ʃ ə n
limitations; l ˌ ɪ m ɪ t ˈ eɪ ʃ ə n z
limited; l ˈ ɪ m ɪ t ɪ d
limiting; l ˈ ɪ m ɪ t ɪ ŋ
limits; l ˈ ɪ m ɪ t s
limousine; l ˈ ɪ m ə z ˌ iː n
limousine; l ˌ ɪ m ə z ˈ iː n
limousines; l ˈ ɪ m ə z ˌ iː n z
limousines; l ˌ ɪ m ə z ˈ iː n z
limp; l ˈ ɪ m p
lincoln; l ˈ ɪ ŋ k ə n
lincolnshire; l ˈ ɪ ŋ k ə n ʃ ə
linda; l ˈ ɪ n d ə
lindsay; l ˈ ɪ n d z i
lindsey; l ˈ ɪ n d z i
line; l ˈ aɪ n
linear; l ˈ ɪ n ɪə
lined; l ˈ aɪ n d
linen; l ˈ ɪ n ɪ n
liner; l ˌ aɪ n ə
lines; l ˈ aɪ n z
linger; l ˈ ɪ ŋ g ə
lingerie; l ˈ ɒ n ʒ ə ɹ i
lingo; l ˈ ɪ ŋ g əʊ
linguist; l ɪ ŋ g w ˈ ɪ s t
linguistic; l ɪ ŋ g w ˈ ɪ s t ɪ k
linguistics; l ɪ ŋ g w ˈ ɪ s t ɪ k s
lining; l ˈ aɪ n ɪ ŋ
link; l ˈ ɪ ŋ k
linked; l ˈ ɪ ŋ k t
linking; l ˈ ɪ ŋ k ɪ ŋ
links; l ˈ ɪ ŋ k s
lint; l ˈ ɪ n t
linux; l ˈ ɪ n ə k s
linux; l ˈ aɪ n ə k s
lion; l ˈ aɪ ə n
lions; l ˈ aɪ ə n z
lip; l ˈ ɪ p
lips; l ˈ ɪ p s
lipstick; l ˈ ɪ p s t ˌ ɪ k
liquefy; l ˈ ɪ k w ɪ f ˌ aɪ
liquid; l ˈ ɪ k w ɪ d
liquor; l ˈ ɪ k ə
lisa; l ˈ iː s ə
lisbon; l ˈ ɪ z b ə n
liskeard; l ɪ s k ˈ ɑː d
lisp; l ˈ ɪ s p
list; l ˈ ɪ s t
listed; l ˈ ɪ s t ɪ d
listen; l ˈ ɪ s ə n
listened; l ˈ ɪ s ə n d
listener; l ˈ ɪ s ə n ə
listeners; l ˈ ɪ s ə n ə z
listening; l ˈ ɪ s n ɪ ŋ
listening; l ˈ ɪ s ə n ɪ ŋ
listing; l ˈ ɪ s t ɪ ŋ
listings; l ˈ ɪ s t ɪ ŋ z
lists; l ˈ ɪ s t s
lit; l ˈ ɪ t
lite; l ˈ aɪ t
liter; l ˈ iː t ə
literacy; l ˈ ɪ t ə ɹ ə s i
literal; l ˈ ɪ t ə ɹ ə l
literally; l ˈ ɪ t ɹ ə l i
literally; l ˈ ɪ t ə ɹ ə l i
literary; l ˈ ɪ t ə ɹ ə ɹ i
literature; l ˈ ɪ t ə ɹ ə t͡ʃ ə
lithuania; l ˌ ɪ θ j ʊ ˈ eɪ n ɪə
litigation; l ˌ ɪ t ɪ g ˈ eɪ ʃ ə n
litre; l ˈ iː t ə
litter; l ˈ ɪ t ə
little; l ˈ ɪ t ə l
live; l ˈ ɪ v
live; l ˈ aɪ v
lived; l ˈ ɪ v d
lively; l ˈ aɪ v l i
liver; l ˈ ɪ v ə
liverpool; l ˈ ɪ v ə p ˌ uː l
lives; l ˈ ɪ v z
lives; l ˈ aɪ v z
livestock; l ˈ aɪ v s t ˌ ɒ k
livid; l ˈ ɪ v ɪ d
living; l ˈ ɪ v ɪ ŋ
liz; l ˈ ɪ z
ljubliana; l j ˈ uː b l j ˈ ɑː n ə
ljubliana; l ˈ uː b l j ˈ ɑː n ə
llama; l ˈ ɑː m ə
lloyd; l ˈ ɔɪ d
lo; l ˈ əʊ
load; l ˈ əʊ d
loaded; l ˈ əʊ d ɪ d
loading; l ˈ əʊ d ɪ ŋ
loads; l ˈ əʊ d z
loaf; l ˈ əʊ f
loan; l ˈ əʊ n
loans; l ˈ əʊ n z
loath; l ˈ əʊ θ
loathe; l ˈ əʊ ð
loaves; l ˈ əʊ v z
lob; l ˈ ɒ b
lobby; l ˈ ɒ b i
lobe; l ˈ əʊ b
lobster; l ˈ ɒ b s t ə
local; l ˈ əʊ k ə l
locale; l əʊ k ˈ ɑː l
locality; l əʊ k ˈ æ l ɪ t i
locally; l ˈ əʊ k ə l i
locals; l ˈ əʊ k ə l z
locate; l ˈ əʊ k ˌ eɪ t
located; l ˈ əʊ k ˌ eɪ t ɪ d
location; l əʊ k ˈ eɪ ʃ ə n
locations; l əʊ k ˈ eɪ ʃ ə n z
locator; l ˈ əʊ k ˌ eɪ t ə
loch; l ˈ ɒ k
lock; l ˈ ɒ k
locked; l ˈ ɒ k t
locker; l ˈ ɒ k ə
locking; l ˈ ɒ k ɪ ŋ
locks; l ˈ ɒ k s
locomotive; l ˌ əʊ k ə m ˈ əʊ t ɪ v
locust; l ˈ əʊ k ə s t
locusts; l ˈ əʊ k ə s t s
lodge; l ˈ ɒ d͡ʒ
lodging; l ˈ ɒ d͡ʒ ɪ ŋ
loft; l ˈ ɒ f t
lofty; l ˈ ɒ f t i
log; l ˈ ɒ g
logged; l ˈ ɒ g d
logging; l ˈ ɒ g ɪ ŋ
logic; l ˈ ɒ d͡ʒ ɪ k
logical; l ˈ ɒ d͡ʒ ɪ k ə l
login; l ˈ ɒ g ɪ n
logistics; l ə d͡ʒ ˈ ɪ s t ɪ k s
logo; l ˈ əʊ g əʊ
logos; l ˈ əʊ g ˌ əʊ z
logs; l ˈ ɒ g z
lol; l ˈ ɒ l
loll; l ˈ ɒ l
lollipop; l ˈ ɒ l ɪ p ˌ ɒ p
london; l ˈ ʌ n d ə n
lone; l ˈ əʊ n
lonely; l ˈ əʊ n l i
loner; l ˈ əʊ n ə
long; l ˈ ɒ ŋ
long-term; l ˈ ɒ ŋ t ɜː m
longer; l ˈ ɒ ŋ g ə
longest; l ˈ ɒ ŋ g ɪ s t
longitude; l ˈ ɒ n d͡ʒ ɪ t j ˌ uː d
longitude; l ˈ ɒ ŋ g ɪ t j ˌ uː d
longitudinal; l ˌ ɒ n d͡ʒ ɪ t j ˈ uː d ɪ n ə l
longitudinal; l ˌ ɒ ŋ g ɪ t j ˈ uː d ɪ n ə l
loo; l ˈ uː
look; l ˈ ʊ k
looked; l ˈ ʊ k t
looking; l ˈ ʊ k ɪ ŋ
looks; l ˈ ʊ k s
lookup; l ˈ ʊ k ˌ ʌ p
loom; l ˈ uː m
loony; l ˈ uː n i
loop; l ˈ uː p
loops; l ˈ uː p s
loose; l ˈ uː s
loosen; l ˈ uː s ə n
loot; l ˈ uː t
lopez; l ˈ əʊ p ɛ z
lord; l ˈ ɔː d
lords; l ˈ ɔː d z
lordship; l ˈ ɔː ʃ ɪ p
lorna; l ˈ ɔː n ə
lorraine; l ɒ ɹ ˈ eɪ n
lorries; l ˈ ɒ ɹ i z
lorry; l ˈ ɒ ɹ i
lose; l ˈ uː z
loser; l ˈ uː z ə
loses; l ˈ uː z ɪ z
losing; l ˈ uː z ɪ ŋ
loss; l ˈ ɒ s
losses; l ˈ ɒ s ɪ z
lost; l ˈ ɒ s t
los_angeles; l ɒ s ˈ æ n d͡ʒ ɪ l ˌ iː z
lot; l ˈ ɒ t
lothian; l ˈ əʊ ð ɪə n
lotion; l ˈ əʊ ʃ ə n
lots; l ˈ ɒ t s
lottery; l ˈ ɒ t ə ɹ i
lotus; l ˈ əʊ t ə s
lou; l ˈ uː
loud; l ˈ aʊ d
louder; l ˈ aʊ d ə
loudly; l ˈ aʊ d l i
loughborough; l ˈ ʌ f b ɹ ə
loughton; l ˈ aʊ t ə n
louis; l ˈ uː i
louise; l uː ˈ iː z
louisiana; l uː ˌ iː z ɪ ˈ æ n ə
louisville; l ˈ uː ɪ v ˌ ɪ l
lounge; l ˈ aʊ n d͡ʒ
louse; l ˈ aʊ s
lousy; l ˈ aʊ z i
lout; l ˈ aʊ t
love; l ˈ ʌ v
loved; l ˈ ʌ v d
lovely; l ˈ ʌ v l i
lover; l ˈ ʌ v ə
lovers; l ˈ ʌ v ə z
loves; l ˈ ʌ v z
loving; l ˈ ʌ v ɪ ŋ
low; l ˈ əʊ
lower; l ˈ əʊ ə
lowered; l ˈ əʊ ə d
lowest; l ˈ əʊ ɪ s t
lowly; l ˈ əʊ l i
lows; l ˈ əʊ z
loyal; l ˈ ɔɪ ə l
loyalty; l ˈ ɔɪ ə l t i
lucas; l ˈ uː k ə s
lucia; l ˈ uː ʃ ə
lucid; l ˈ uː s ɪ d
luck; l ˈ ʌ k
luckily; l ˈ ʌ k ɪ l i
lucky; l ˈ ʌ k i
lucy; l ˈ uː s i
luggage; l ˈ ʌ g ɪ d͡ʒ
luke; l ˈ uː k
lull; l ˈ ʌ l
lumber; l ˈ ʌ m b ə
lump; l ˈ ʌ m p
lunatic; l ˈ uː n ə t ˌ ɪ k
lunch; l ˈ ʌ n t͡ʃ
lunchtime; l ˈ ʌ n t͡ʃ t ˌ aɪ m
lung; l ˈ ʌ ŋ
lungs; l ˈ ʌ ŋ z
lurch; l ˈ ɜː t͡ʃ
lure; l j ˈ ʊə
lure; l ˈ ʊə
lurid; l ˈ ʊə ɹ ɪ d
lurk; l ɜː k
luscious; l ˈ ʌ ʃ ə s
lush; l ˈ ʌ ʃ
lust; l ˈ ʌ s t
luther; l ˈ uː θ ə
luton; l ˈ uː t ə n
luxembourg; l ˈ ʌ k s ə m b ˌ ɜː g
luxury; l ˈ ʌ k ʃ ə ɹ i
lycra; l ˈ aɪ k ɹ ə
lying; l ˈ aɪ ɪ ŋ
lyn; l ˈ ɪ n
lynch; l ˈ ɪ n t͡ʃ
lynda; l ˈ ɪ n d ə
lynn; l ˈ ɪ n
lynx; l ˈ ɪ ŋ k s
lyric; l ˈ ɪ ɹ ɪ k
lyrics; l ˈ ɪ ɹ ɪ k s
ma'am; m ˈ æ m
mac; m ˈ æ k
macdonald; m ə k d ˈ ɒ n ə l d
mace; m ˈ eɪ s
macedonia; m ˌ æ s ɪ d ˈ əʊ n ɪə
machete; m ə ʃ ˈ ɛ t i
machine; m ə ʃ ˈ iː n
machinery; m ə ʃ ˈ iː n ɹ i
machinery; m ə ʃ ˈ iː n ə ɹ i
machines; m ə ʃ ˈ iː n z
macho; m ˈ æ t͡ʃ əʊ
macintosh; m ˈ æ k ɪ n t ˌ ɒ ʃ
mackerel; m ˈ æ k ə ɹ ə l
mackintosh; m ˈ æ k ɪ n t ˌ ɒ ʃ
macro; m ˈ æ k ɹ əʊ
mad; m ˈ æ d
madagascar; m ˌ æ d æ g ˈ æ s k ə
madam; m ˈ æ d ə m
madame; m ˈ æ d ə m
madame; m ə d ˈ ɑː m
made; m ˈ eɪ d
mademoiselle; m ˌ æ d ə m ə z ˈ ɛ l
madge; m ˈ æ d͡ʒ
madison; m ˈ æ d ɪ s ə n
madness; m ˈ æ d n ɪ s
madonna; m ə d ˈ ɒ n ə
madrid; m ə d ɹ ˈ ɪ d
mae; m ˈ eɪ
mafia; m ˈ æ f ɪə
mag; m ˈ æ g
magazine; m ˈ æ g ə z ˌ iː n
magazines; m ˈ æ g ə z ˌ iː n z
magenta; m ə d͡ʒ ˈ ɛ n t ə
maggie; m ˈ æ g i
magic; m ˈ æ d͡ʒ ɪ k
magical; m ˈ æ d͡ʒ ɪ k ə l
magistrate; m ˈ æ d͡ʒ ɪ s t ɹ ˌ eɪ t
magistrate; m ˈ æ d͡ʒ ɪ s t ɹ ɪ t
magistrates; m ˈ æ d͡ʒ ɪ s t ɹ ˌ eɪ t s
magistrates; m ˈ æ d͡ʒ ɪ s t ɹ ɪ t s
magnet; m ˈ æ g n ɪ t
magnetic; m æ g n ˈ ɛ t ɪ k
magnificent; m æ g n ˈ ɪ f ɪ s ə n t
magnitude; m ˈ æ g n ɪ t j ˌ uː d
maid; m ˈ eɪ d
maiden; m ˈ eɪ d ə n
mail; m ˈ eɪ l
mailed; m ˈ eɪ l d
mailing; m ˈ eɪ l ɪ ŋ
mailman; m ˈ eɪ l m ˌ æ n
mails; m ˈ eɪ l z
maim; m ˈ eɪ m
main; m ˈ eɪ n
maine; m ˈ eɪ n
mainframe; m ˈ eɪ n f ɹ ˌ eɪ m
mainland; m ˈ eɪ n l ə n d
mainly; m ˈ eɪ n l i
mains; m ˈ eɪ n z
mainstream; m ˈ eɪ n s t ɹ ˌ iː m
maintain; m eɪ n t ˈ eɪ n
maintained; m eɪ n t ˈ eɪ n d
maintaining; m eɪ n t ˈ eɪ n ɪ ŋ
maintains; m eɪ n t ˈ eɪ n z
maintenance; m ˈ eɪ n t n ə n s
maintenance; m ˈ eɪ n t ə n ə n s
maize; m ˈ eɪ z
majesty; m ˈ æ d͡ʒ ə s t i
major; m ˈ eɪ d͡ʒ ə
majority; m ə d͡ʒ ˈ ɒ ɹ ɪ t i
make; m ˈ eɪ k
make-up; m ˈ eɪ k ˌ ʌ p
maker; m ˈ eɪ k ə
makers; m ˈ eɪ k ə z
makes; m ˈ eɪ k s
maketh; m ˈ eɪ k ə θ
makeup; m ˈ eɪ k ˌ ʌ p
making; m ˈ eɪ k ɪ ŋ
malaria; m ə l ˈ ɛə ɹ ɪə
malawi; m ə l ˈ ɑː w i
malaysia; m ə l ˈ eɪ ʒ ə
malcolm; m ˈ æ l k ə m
maldives; m ˈ ɔː l d iː v z
male; m ˈ eɪ l
males; m ˈ eɪ l z
mali; m ˈ ɑː l i
malice; m ˈ æ l ɪ s
malicious; m ə l ˈ ɪ ʃ ə s
mall; m ˈ ɔː l
malpractice; m æ l p ɹ ˈ æ k t ɪ s
malt; m ˈ ɔː l t
malta; m ˈ ɔː l t ə
mam; m ˈ æ m
mama; m ə m ˈ ɑː
mambo; m ˈ æ m b əʊ
mammal; m ˈ æ m ə l
mammals; m ˈ æ m ə l z
man; m ˈ æ n
manage; m ˈ æ n ɪ d͡ʒ
managed; m ˈ æ n ɪ d͡ʒ d
management; m ˈ æ n ɪ d͡ʒ m ə n t
manager; m ˈ æ n ɪ d͡ʒ ə
managerial; m ˌ æ n ɪ d͡ʒ ˈ ɪə ɹ ɪə l
managers; m ˈ æ n ɪ d͡ʒ ə z
managing; m ˈ æ n ɪ d͡ʒ ɪ ŋ
manchester; m ˈ æ n t͡ʃ ɪ s t ə
mandate; m ˈ æ n d ˌ eɪ t
mandate; m ˈ æ n d ɪ t
mandatory; m ˈ æ n d ə t ə ɹ i
mandy; m ˈ æ n d i
mane; m ˈ eɪ n
maneuvre; m ə n ˈ uː v ə
manga; m ˈ æ ŋ g ə
manhattan; m æ n h ˈ æ t ə n
mania; m ˈ eɪ n ɪə
manic; m ˈ æ n ɪ k
manipulate; m ə n ˈ ɪ p j ʊ l ˌ eɪ t
manipulation; m ə n ˌ ɪ p j ʊ l ˈ eɪ ʃ ə n
manitoba; m ˌ æ n ɪ t ˈ əʊ b ə
mankind; m ˌ æ n k ˈ aɪ n d
mannequin; m ˈ æ n ɪ k ɪ n
manner; m ˈ æ n ə
manners; m ˈ æ n ə z
manoeuvre; m ə n ˈ uː v ə
manor; m ˈ æ n ə
manpower; m ˈ æ n p ˌ aʊ ə
mansfield; m ˈ æ n s f ˌ iː l d
mansion; m ˈ æ n ʃ ə n
mantle; m ˈ æ n t ə l
manual; m ˈ æ n j ʊə l
manually; m ˈ æ n j ʊə l i
manuals; m ˈ æ n j ʊə l z
manufacture; m ˌ æ n j ʊ f ˈ æ k t͡ʃ ə
manufactured; m ˌ æ n j ʊ f ˈ æ k t͡ʃ ə d
manufacturer; m ˌ æ n j ʊ f ˈ æ k t͡ʃ ə ɹ ə
manufacturers; m ˌ æ n j ʊ f ˈ æ k t͡ʃ ə ɹ ə z
manufacturing; m ˌ æ n j ʊ f ˈ æ k t͡ʃ ə ɹ ɪ ŋ
manuscript; m ˈ æ n j ʊ s k ɹ ˌ ɪ p t
many; m ˈ ɛ n i
map; m ˈ æ p
maple; m ˈ eɪ p ə l
mapping; m ˈ æ p ɪ ŋ
maps; m ˈ æ p s
mar; m ˈ ɑː
marathon; m ˈ æ ɹ ə θ ə n
marble; m ˈ ɑː b ə l
marc; m ˈ ɑː k
march; m ˈ ɑː t͡ʃ
marching; m ˈ ɑː t͡ʃ ɪ ŋ
marcus; m ˈ ɑː k ə s
mare; m ˈ ɛə
margaret; m ˈ ɑː g ɹ ə t
margaret; m ˈ ɑː g ɹ ɪ t
margaret; m ˈ ɑː g ə ɹ ɪ t
margarine; m ˈ ɑː d͡ʒ ə ɹ ˌ iː n
marge; m ˈ ɑː d͡ʒ
margin; m ˈ ɑː d͡ʒ ɪ n
marginal; m ˈ ɑː d͡ʒ ɪ n ə l
margins; m ˈ ɑː d͡ʒ ɪ n z
margot; m ˈ ɑː g əʊ
maria; m ə ɹ ˈ iː ə
mariah; m ə ɹ ˈ aɪ ə
marie; m ə ɹ ˈ iː
marijuana; m ˌ æ ɹ ɪ h w ˈ ɑː n ə
marilyn; m ˈ æ ɹ ɪ l ɪ n
marina; m ə ɹ ˈ iː n ə
marine; m ə ɹ ˈ iː n
mario; m ˈ æ ɹ ɪ əʊ
marion; m ˈ æ ɹ ɪə n
marital; m ˈ æ ɹ ɪ t ə l
maritime; m ˈ æ ɹ ɪ t ˌ aɪ m
mark; m ˈ ɑː k
marked; m ˈ ɑː k t
marker; m ˈ ɑː k ə
markers; m ˈ ɑː k ə z
market; m ˈ ɑː k ɪ t
marketing; m ˈ ɑː k ɪ t ɪ ŋ
marketplace; m ˈ ɑː k ɪ t p l ˌ eɪ s
markets; m ˈ ɑː k ɪ t s
marking; m ˈ ɑː k ɪ ŋ
marks; m ˈ ɑː k s
marmalade; m ˈ ɑː m ə l ˌ eɪ d
marquee; m ɑː k ˈ iː
marriage; m ˈ æ ɹ ɪ d͡ʒ
marriages; m ˈ æ ɹ ɪ d͡ʒ ɪ z
married; m ˈ æ ɹ i d
marriott; m ˈ æ ɹ ɪə t
marrow; m ˈ æ ɹ əʊ
marry; m ˈ æ ɹ i
marrying; m ˈ æ ɹ i ɪ ŋ
mars; m ˈ ɑː z
marsh; m ˈ ɑː ʃ
marshal; m ˈ ɑː ʃ ə l
marshall; m ˈ ɑː ʃ ə l
marshmallow; m ˈ ɑː ʃ m ˌ æ l əʊ
marshmallow; m ˌ ɑː ʃ m ˈ æ l əʊ
mart; m ˈ ɑː t
martha; m ˈ ɑː θ ə
martial; m ˈ ɑː ʃ ə l
martin; m ˈ ɑː t ɪ n
marts; m ˈ ɑː t s
martyr; m ˈ ɑː t ə
marvel; m ˈ ɑː v ə l
marvellous; m ˈ ɑː v ə l ə s
marvelous; m ˈ ɑː v ə l ə s
marx; m ˈ ɑː k s
marxist; m ˈ ɑː k s ɪ s t
mary; m ˈ ɛə ɹ i
maryland; m ˈ æ ɹ ɪ l ə n d
marylebone; m ˈ ɑː l ɪ b ə n
marylebone; m ˈ æ ɹ ɪ b ə n
marylebone; m ˈ æ ɹ ɪ l ɪ b əʊ n
marylebone; m ˈ æ ɹ ɪ l ə b ə n
mash; m ˈ æ ʃ
mask; m ˈ ɑː s k
masochist; m ˈ æ s ə k ɪ s t
mason; m ˈ eɪ s ə n
masonry; m ˈ eɪ s ə n ɹ i
mass; m ˈ æ s
massachusetts; m ˌ æ s ə t͡ʃ ˈ uː s ɪ t s
massacre; m ˈ æ s ə k ə
massage; m ə s ˈ ɑː ʒ
masses; m ˈ æ s ɪ z
massif; m ˈ æ s iː f
massive; m ˈ æ s ɪ v
mast; m ˈ ɑː s t
master; m ˈ ɑː s t ə
mastercard; m ˈ ɑː s t ə k ˌ ɑː d
masters; m ˈ ɑː s t ə z
masturbating; m ˈ æ s t ə b ˌ eɪ t ɪ ŋ
masturbation; m ˌ æ s t ə b ˈ eɪ ʃ ə n
mat; m ˈ æ t
match; m ˈ æ t͡ʃ
matched; m ˈ æ t͡ʃ t
matches; m ˈ æ t͡ʃ ɪ z
matching; m ˈ æ t͡ʃ ɪ ŋ
mate; m ˈ eɪ t
material; m ə t ˈ ɪə ɹ ɪə l
materials; m ə t ˈ ɪə ɹ ɪə l z
maternal; m ə t ˈ ɜː n ə l
maternity; m ə t ˈ ɜː n ɪ t i
mates; m ˈ eɪ t s
matey; m ˈ eɪ t i
math; m ˈ æ θ
mathematical; m ˌ æ θ ə m ˈ æ t ɪ k ə l
mathematics; m ˌ æ θ ə m ˈ æ t ɪ k s
maths; m ˈ æ θ s
mating; m ˈ eɪ t ɪ ŋ
matrices; m ˈ eɪ t ɹ ɪ s ˌ iː z
matrix; m ˈ eɪ t ɹ ɪ k s
matrixes; m ˈ eɪ t ɹ ɪ k s ɪ z
matron; m ˈ eɪ t ɹ ə n
mats; m ˈ æ t s
matt; m ˈ æ t
matter; m ˈ æ t ə
matters; m ˈ æ t ə z
matthew; m ˈ æ θ j uː
mattress; m ˈ æ t ɹ ɪ s
mature; m ə t͡ʃ ˈ ʊə
mature; m ə t j ˈ ʊə
maturity; m ə t͡ʃ ˈ ʊə ɹ ɪ t i
maturity; m ə t j ˈ ʊə ɹ ɪ t i
maul; m ˈ ɔː l
maureen; m ˈ ɔː ɹ iː n
maurice; m ˈ ɒ ɹ ɪ s
mauritius; m ə ɹ ˈ ɪ ʃ ə s
maven; m ˈ eɪ v ə n
maverick; m ˈ æ v ə ɹ ɪ k
max; m ˈ æ k s
maxim; m ˈ æ k s ɪ m
maxima; m ˈ æ k s ɪ m ə
maximize; m ˈ æ k s ɪ m ˌ aɪ z
maximum; m ˈ æ k s ɪ m ə m
maxine; m ˈ æ k s iː n
maxwell; m ˈ æ k s w ə l
may; m ˈ eɪ
maybe; m ˈ eɪ b i
mayhem; m ˈ eɪ h ɛ m
mayor; m ˈ ɛə
mazda; m ˈ æ z d ə
maze; m ˈ eɪ z
mcdonald; m ə k d ˈ ɒ n ə l d
me; m ˈ iː
mead; m ˈ iː d
meadow; m ˈ ɛ d əʊ
meagre; m ˈ iː g ə
meal; m ˈ iː l
meals; m ˈ iː l z
mean; m ˈ iː n
meaning; m ˈ iː n ɪ ŋ
meaningful; m ˈ iː n ɪ ŋ f ə l
meanings; m ˈ iː n ɪ ŋ z
means; m ˈ iː n z
meant; m ˈ ɛ n t
meantime; m ˈ iː n t ˌ aɪ m
meanwhile; m ˈ iː n w ˌ aɪ l
measure; m ˈ ɛ ʒ ə
measured; m ˈ ɛ ʒ ə d
measurement; m ˈ ɛ ʒ ə m ə n t
measurements; m ˈ ɛ ʒ ə m ə n t s
measures; m ˈ ɛ ʒ ə z
measuring; m ˈ ɛ ʒ ə ɹ ɪ ŋ
meat; m ˈ iː t
mecca; m ˈ ɛ k ə
mechanic; m ɪ k ˈ æ n ɪ k
mechanical; m ɪ k ˈ æ n ɪ k ə l
mechanics; m ɪ k ˈ æ n ɪ k s
mechanism; m ˈ ɛ k ə n ˌ ɪ z ə m
mechanisms; m ˈ ɛ k ə n ˌ ɪ z ə m z
med; m ˈ ɛ d
medal; m ˈ ɛ d ə l
media; m ˈ iː d ɪə
median; m ˈ iː d ɪə n
mediate; m ˈ iː d ɪ ˌ eɪ t
mediate; m ˈ iː d ɪ ɪ t
medicaid; m ˈ ɛ d ɪ k ˌ eɪ d
medical; m ˈ ɛ d ɪ k ə l
medicare; m ˈ ɛ d ɪ k ˌ ɛə
medication; m ˌ ɛ d ɪ k ˈ eɪ ʃ ə n
medications; m ˌ ɛ d ɪ k ˈ eɪ ʃ ə n z
medicine; m ˈ ɛ d ɪ s ɪ n
medicines; m ˈ ɛ d ɪ s ɪ n z
medieval; m ɛ d ˈ iː v ə l
medieval; m ɛ d ɪ ˈ iː v ə l
mediocre; m ˌ iː d ɪ ˈ əʊ k ə
mediocre; m ˈ iː d ɪ ˌ əʊ k ə
meditation; m ˌ ɛ d ɪ t ˈ eɪ ʃ ə n
mediterranean; m ˌ ɛ d ɪ t ə ɹ ˈ eɪ n ɪə n
medium; m ˈ iː d ɪə m
meek; m ˈ iː k
meerkat; m ˈ ɪə k ˌ æ t
meet; m ˈ iː t
meeting; m ˈ iː t ɪ ŋ
meetings; m ˈ iː t ɪ ŋ z
meets; m ˈ iː t s
meetup; m ˈ iː t ʌ p
meh; m ˈ ɛ
mel; m ˈ ɛ l
melanie; m ˈ ɛ l ə n i
melbourne; m ˈ ɛ l b ə n
meld; m ˈ ɛ l d
melissa; m ə l ˈ ɪ s ə
melody; m ˈ ɛ l ə d i
melon; m ˈ ɛ l ə n
melt; m ˈ ɛ l t
member; m ˈ ɛ m b ə
members; m ˈ ɛ m b ə z
membership; m ˈ ɛ m b ə ʃ ˌ ɪ p
membrane; m ˈ ɛ m b ɹ ˌ eɪ n
memo; m ˈ ɛ m ˌ əʊ
memorabilia; m ˌ ɛ m ə ɹ ə b ˈ iː l ɪə
memorable; m ˈ ɛ m ə ɹ ə b ə l
memoranda; m ˌ ɛ m ə ɹ ˈ æ n d ə
memorandum; m ˌ ɛ m ə ɹ ˈ æ n d ə m
memorandums; m ˌ ɛ m ə ɹ ˈ æ n d ə m z
memorial; m ɪ m ˈ ɔː ɹ ɪə l
memories; m ˈ ɛ m ə ɹ i z
memorise; m ˈ ɛ m ə ɹ ˌ aɪ z
memorize; m ˈ ɛ m ə ɹ ˌ aɪ z
memory; m ˈ ɛ m ə ɹ i
memphis; m ˈ ɛ m f ɪ s
memphis; m ˈ ɛ m p f ɪ s
men; m ˈ ɛ n
menace; m ˈ ɛ n ɪ s
mend; m ˈ ɛ n d
mental; m ˈ ɛ n t ə l
mentally; m ˈ ɛ n t ə l i
mention; m ˈ ɛ n ʃ ə n
mentioned; m ˈ ɛ n ʃ ə n d
mentor; m ˈ ɛ n t ˌ ɔː
menu; m ˈ ɛ n j uː
menus; m ˈ ɛ n j uː z
meopham; m ˈ ɛ p ə m
meow; m ɪ ˈ aʊ
mercator; m ˌ ɜː k ˈ eɪ t ə
mercedes; m ə s ˈ eɪ d iː z
merchandise; m ˈ ɜː t͡ʃ ə n d ˌ aɪ z
merchant; m ˈ ɜː t͡ʃ ə n t
merchants; m ˈ ɜː t͡ʃ ə n t s
mercury; m ˈ ɜː k j ʊ ɹ i
mercy; m ˈ ɜː s i
mere; m ˈ ɪə
merely; m ˈ ɪə l i
merge; m ˈ ɜː d͡ʒ
