ð ə; the
ə d ˈ ɑ p t ɪ d; adopted
s ˈ ɝ v z; serves
w ˈ ɛ b s ˌ aɪ t; website
t ˈ ɛ k n ɪ k ə l; technical
ˈ eɪ dʒ ə n s i; agency
ɹ ˈ oʊ l z; roles roll's rolls rowles
g ˈ æ s; gas gass
d ˈ ʌ b ə l; double
g ˈ eɪ n d; gained
d ˈ ɪ s t ə n s; distance
ə p ɹ ˈ oʊ tʃ; approach
k l ˈ ɪ ɹ; clear cleere kleer
m ˈ ɔ ɹ n ɪ ŋ; morning mourning
ə m ˈ aʊ n t; amount
dʒ ˈ ɔ ɹ dʒ ə; georgia giorgia
g ɪ t ˈ ɑ ɹ; guitar
ɹ i v j ˈ u z; review's reviews
tʃ ˈ æ m p i ə n z; champion's champions
s ə p ɹ ˈ i m; supreme
h ˈ oʊ l d; hold holde holed
f l ˈ ɔ ɹ; floor flor flore
ˈ ɛ s t ə m ˌ eɪ t ə d; estimated
p ˈ ɑ l ɪ ʃ; polish
g ˈ oʊ l d ə n; golden
b l ˈ ʌ d; blood
æ k s ˈ ɛ p t ɪ d; accepted
m ˈ ɑ d ə l z; model's models models'
b ˌ i b i s ˈ i; bbc
k ˈ æ p tʃ ɝ d; captured
ˌ æ l ə g z ˈ æ n d ɝ; alexander
ˌ ɔ ɹ g ə n ə z ˈ eɪ ʃ ə n z; organizations
ˈ æ k t ɹ ə s; actress
s ˈ ɪ d n i; sidney sydney
ɹ ˈ eɪ l ɹ ˌ oʊ d; railroad
f ˈ ɝ m; ferm firm
ˈ æ k tʃ ˌ u ə l i; actually
ɹ ɪ s p ˈ ɛ k t ɪ v l i; respectively
h ˈ ɛ ɹ ə t ə dʒ; heritage
s ˈ eɪ f t i; safety
ə l ˈ oʊ n; alone
t ɹ ˈ æ v ə l; travel
ə g ɹ ˈ i d; agreed
t ˈ æ k s; tacks tax
d ɪ k l ˈ ɛ ɹ d; declared
ə p l ˈ aɪ d; applied
ˈ aɪ ɝ n; iron
d ˈ ɛ n s ə t i; density
p ɹ ˈ ɑ b l ə m; problem
f ˈ ɪ g j ɝ; figure
k ɹ ˈ ɪ k ə t; cricket
n ˈ oʊ t s; note's notes notes'
p ɹ ˈ ɪ n s ə p ə l; principal principle
b l ˈ ɑ k; bloc bloch block blok
dʒ ˈ ɑ n s ə n; johnsen johnson jonson jonsson
w ˈ ɪ l j ə m z; william's williams williams'
ˈ ɪ z ɹ i ə l; israel
θ ˈ ɪ ŋ z; thing's things things'
ˌ ɪ m p ˈ æ k t; impact
s ˈ ɪ tʃ u ˌ eɪ t ɪ d; situated
h ˈ ɑ ɹ d; hard
f ˈ aɪ t ɪ ŋ; fighting
s ˈ eɪ l z; sails sale's sales sales' sayles
f ˈ ɛ l; fehl fel fell
p ɹ ˈ ɛ ʃ ɝ; prescher pressure
p ə z ˈ ɪ ʃ ə n z; positions
s ˈ ʌ f ɝ d; suffered
m ˈ ɪ k s t; mixed mixte
p ɹ ɛ m ˈ ɪ ɹ; premier premiere
ɹ ˈ ɛ k ə g n ˌ aɪ z d; recognised recognized
f ɹ ˈ æ ŋ k; franc franck francke frank franke
t ˈ i tʃ ɪ ŋ; teaching
dʒ ˈ ɔɪ n t; joint joynt
f ˈ ɪ ʃ; fisch fish phish
t ˈ aɪ t ə l z; titles
s ˈ ʌ n z; son's sons sun's suns
ˌ ɪ l ə n ˈ ɔɪ; illinois
k ˈ ʌ l ɝ; color colour culler
k l ˈ aɪ m ə t; climate
ˌ ɪ n d ɪ p ˈ ɛ n d ə n s; independence
n ˈ ɑ l ə dʒ; knowledge
t ɹ ˈ æ f ɪ k; traffic
b ˈ ʌ s; bus buss busse
p l ˈ æ n t s; plant's plants plants' plantz
f ˈ i t; feat feet
d ˈ ɪ f ə k ə l t; difficult
m ˈ aʊ n t ə n z; mountain's mountains
d ˈ u k; duke duque
t ɹ ˈ i; tree
ə k ˈ aʊ n t; account
p ˈ ɑ ɹ t i z; parties parties' party's
p ˈ eɪ; pay paye pei
oʊ l ˈ ɪ m p ɪ k; olympic
ˈ ɑ ɹ m z; arm's armes arms
d ˈ ɛ p j ə t i; deputy
ə k ˈ ɝ d; occurred
g ˈ ɝ l z; girl's girls girls'
dʒ i ˈ ɑ g ɹ ə f i; geography
ɹ ɪ m ˈ eɪ n; remain
k ˈ ɑ n t ɛ n t; content
ɹ ˈ oʊ z; roes roh's rohs rose row's rowe's rowes rows
k ɹ i ˈ eɪ ʃ ə n; creation
j ˈ ɑ ɹ d z; yard's yards
p l ˈ æ t f ˌ ɔ ɹ m; platform
p ɹ ˈ ɛ z ə n s; presence
p ɝ f ˈ ɔ ɹ m ə n s ə z; performances
d ɹ ˈ æ f t; draft draught
ɹ ˈ i s ɔ ɹ s ɪ z; resources resources'
ˌ ɪ ɹ ˈ ɑ n; iran
g ɹ ˈ oʊ ɪ ŋ; growing
ɹ ɪ z ˈ ʌ l t ɪ d; resulted
ɹ ˌ ɛ p ɹ ə z ˈ ɛ n t ə t ɪ v z; representatives
h ˈ oʊ s t ɪ d; hosted
m; mm
k ə n t ˈ ɪ n j u z; continues
d ɹ ˈ ɔ; draw
t ˈ i tʃ ɝ; teacher
t ˈ aɪ t ə l d; titled
ɪ k s p ˈ æ n d ə d; expanded
s ˈ aɪ t s; cites seitz sights site's sites
ˈ ɑ n ɝ; ahner honor honore honour
t ˈ ɑ m; thom tom
m ˈ ɛ n ʃ ə n d; mentioned
k ɹ ˈ ɪ t ɪ k s; critic's critics critics'
s p ɹ ˈ ɛ d; spread
t ˈ eɪ b ə l; table
s k ˈ ɔ ɹ ɪ ŋ; scoring
g ˈ ɑ ɹ d; gard garde guard
t w ˈ aɪ s; twice
k ˈ ɑ n s ɝ t; concert
v ɪ k t ˈ ɔ ɹ i ə; victoria
b ˈ ɔ l; ball bawl
p ɹ ə v ˈ aɪ d ɪ ŋ; providing
m j u n ˈ ɪ s ə p ə l; municipal
t ˈ ɔ t; taught taut
ˈ æ m; am
d ˈ æ m ə dʒ; damage
ˌ ɑ p ə z ˈ ɪ ʃ ə n; opposition
ɪ k s p ˈ ɛ k t ə d; expected
h ˈ aʊ s h ˌ oʊ l d; household
ɹ ˈ eɪ l; rael rail raile rayl rayle reil
d ˈ ɪ s t ɹ ɪ k t s; district's districts
z ˈ oʊ n; zohn zone
ɹ ˌ ɛ v ə l ˈ u ʃ ə n; revolution
t ˈ ɛ k s t; text
j ˈ ʌ ŋ g ɝ; younger
b ɪ k ˈ ʌ m z; becomes
w ˈ ɪ n d oʊ z; windows
ɪ l ˈ ɛ k t ɹ ɪ k; electric
n ˈ ɑ m ə n ˌ eɪ t ə d; nominated
b ˈ ɑ ɹ; baar bahre bar barr
s ɝ ˈ aʊ n d ɪ ŋ; surrounding
ˈ ɔ ɹ ə dʒ ə n; origin
f ˈ aɪ n; fein feyen fine
g ˈ ɑ ɹ d ə n; garden
l ˈ eɪ d i; lady
v ˈ oʊ t s; vote's votes
b ˈ eɪ s ɪ k; basic
ɹ ɪ p ˈ ɔ ɹ t s; reports reports'
aɪ d ˈ ɛ n t ə f ˌ aɪ d; identified
l ˈ ɪ b ˌ ɝ ə l; liberal
b ˈ ɔɪ; boy boye
m ˌ æ s ə tʃ ˈ u s ə t s; massachusetts massachusetts' massachussetts
f ə s ˈ ɪ l ɪ t i; facility
ʃ ˈ ɛ ɹ; cher schehr scherr share sherr
p ˈ ɑ p; paap paape pop popp poppe
v ˈ ɝ ʒ ə n z; versions
ˈ ɔ f ɝ; offer
j u n ˈ i k; unique
b ˈ ɝ θ; berth birth
n ˈ oʊ t; note
v ˈ ɔ n; vaughan vaughn von
ɹ ə d ˈ u s t; reduced
s k ˈ ɑ t; scot scott
k ˈ ɛ p t; kept
k l ˈ eɪ m z; claims
p ˈ eɪ n t ɪ ŋ; painting
b ˈ ɛ ɹ i d; buried
s ˈ aɪ ə n s ə z; sciences
p ˈ eɪ d; paid
s ˈ ɛ z; says
d ɪ z ˈ i z; disease
d ˈ i p; deep diep
f ˈ ɛ l t; feldt felt
ɹ ˌ ɛ p ɹ ə z ˈ ɛ n t ə t ɪ v; representative
b ˈ ɑ k s; box boxx
ɹ ˈ æ ŋ k t; ranked
l ˈ u z ɪ ŋ; losing
n ˈ eɪ ʃ ə n; nation
g ɹ ˈ æ n t ə d; granted
ɹ ɪ t ˈ ɝ n ɪ ŋ; returning
ɹ ɪ z ˈ ʌ l t ɪ ŋ; resulting
s ˈ ɪ m p l i; simply
s p l ˈ ɪ t; split splitt
l ˈ ɝ n ɪ ŋ; learning
b ɪ ˈ ɑ n d; beyond
k l ˈ æ s ə z; classes
m ˈ ɛ d ə s ə n; medicine
ɹ ˈ i d ɪ ŋ; reading reding
ˈ ɪ m ə dʒ; image
t ɹ ˈ eɪ n z; train's trains
ˈ oʊ n ɝ; owner
ə f ˈ ɪ ʃ ə l z; official's officials officials'
g ɹ ˈ æ n t; grandt grant
g ˈ oʊ z; ghose goes goghs gose
s ˈ ʌ m θ ɪ ŋ; something
t ˈ ɛ l z; telles tells
b ɝ l ˈ ɪ n; berlin
ɪ n v ˌ aɪ ɹ ə n m ˈ ɛ n t ə l; environmental
m ə ʃ ˈ i n; machine
dʒ ˈ æ z; jazz
f ɹ ˈ i d ə m; freedom
ɹ ˈ i dʒ ə n z; region's regions
ʃ ˈ oʊ d; showed
l ə; le
s ˈ æ n t ə; santa sante
l ˈ ɔ z; law's lawes laws
j ˌ u ˌ ɛ s ˈ eɪ; u.s.a. usa
n ˈ u l i; newley newly
f ˈ i l d z; field's fields fields'
d ˈ ɑ k t ɝ; dockter doctor doktor
p ɝ f ˈ ɔ ɹ m ɪ ŋ; performing
ɹ ə s ˈ i v; receive
p ɹ ə m ˈ oʊ ʃ ə n; promotion
s ə dʒ ˈ ɛ s t ɪ d; suggested
s p ˈ ɔ ɹ t; sport
s ˈ ɛ l; cel cell sel sell selle
h ˈ ɔ ŋ; hong
k ˌ ɑ n s t ə t ˈ u ʃ ə n; constitution
s ˈ ɛ m ə t ˌ ɛ ɹ i; cemetery
d ɪ v ˈ ɛ l ə p; develop
m ə t ˈ ɪ ɹ i ə l z; materials materials'
t ɹ ˈ aɪ d; tried
m ˈ aɪ l; mile
s ˈ ɪ k s θ; sixth
p l ˈ æ n ɪ ŋ; planning
s ˈ ʌ b s ə k w ə n t; subsequent
g ˈ ɪ v z; gives
v ˈ ɪ l ə dʒ ə z; villages
f ˈ aʊ n d ɝ; founder
l ˈ eɪ b ɝ; laber labor labour
ə b t ˈ eɪ n d; obtained
h ˈ ɔ ɹ s; hoarse horse
θ ˈ i m; theme thiem thieme
d ˈ ɛ z ɪ g n ˌ eɪ t ɪ d; designated
f ˈ ɪ n ɪ ʃ; finish finnish
p ɹ ˈ aɪ s; preiss price pryce
ˈ ɛ f ɝ t; effort
k ˈ æ n ɑ t; cannot
t ɹ ə d ˈ ɪ ʃ ə n; tradition
p ˌ ʌ b l ɪ k ˈ eɪ ʃ ə n; publication
k ˈ ɔ ŋ; cong kong
b ɹ ə g ˈ eɪ d; brigade
ˌ ɪ n s p ˈ aɪ ɝ d; inspired
s ˈ i t s; seat's seats
s w ˈ i d ɪ ʃ; swedish
p ˈ ɝ p ə s; purpose
ə l ˈ aʊ z; allows
ə θ ˈ ɔ ɹ ə t i z; authorities
p ˈ æ l ə s; palace pallas
ɪ l ˈ ɪ z ə b ə θ; elizabeth
ə t ˈ æ k s; attacks
s ə k s ˈ i d ɪ d; succeeded
k ə m p l ˈ i t l i; completely
ɔ l t ˈ ɝ n ə t ɪ v; alternative
k ˈ æ n s ɝ; cancer
ˌ ɪ m p ˈ ɪ ɹ i ə l; imperial
ˈ ɪ n t ɝ n ˌ ɛ t; internet
f ˈ eɪ m; fame fayme
l ˈ ɛ t ɝ z; letters
m ˈ ɝ d ɝ; murder
k ə n ˈ ɛ k t ɪ d; connected
ɹ ˈ oʊ m; rhome roam roehm rohm rolm rome
ə tʃ ˈ i v d; achieved
k ɹ ˈ aɪ m; crime
ɑ n t ˈ ɛ ɹ i oʊ; ontario
dʒ ˈ oʊ; jo joe joh
f ˌ ɪ l ə d ˈ ɛ l f i ə; philadelphia
f ˈ ʌ n d ɪ ŋ; funding
l u t ˈ ɛ n ə n t; lieutenant
b ɪ g ˈ ɪ n z; begin's begins
tʃ ˈ oʊ z ə n; chosen chosun
f ˈ ʊ l i; fully
t ɝ ˈ ɑ n t oʊ; toronto
p ˈ æ k ɪ s t ˌ æ n; pakistan
s k w ˈ ɑ d; squad
l ˈ ɪ t ɝ ˌ ɛ ɹ i; literary
ˈ ɪ n t ɝ v j ˌ u; interview
ə t l ˈ æ n t ɪ k; atlantic
ˈ æ n ə m ə l z; animal's animals animals'
s ˈ ɛ l z; cell's cells cells' cels sells selz
ˈ ɪ ŋ k; inc inc. ink
dʒ ˌ ɛ n ɝ ˈ eɪ ʃ ə n; generation
b ˈ ɔɪ z; boies boy's boyes boys boys' boyz
f ˈ ɪ g j ɝ z; figure's figures
s ˌ ɪ tʃ u ˈ eɪ ʃ ə n; situation
d ˈ ɛ l; del dell delle
k ˈ ʌ p ə l; couple
ɪ g z ˈ ɪ s t ɪ ŋ; existing
k ə n f ˈ ɝ m d; confirmed
k ˈ æ t ə g ˌ ɔ ɹ i; category
k ə n s ˈ ɝ v ə t ɪ v; conservative
tʃ ˈ æ l ə n dʒ; challenge
d ɪ f ˈ aɪ n d; defined
ˈ ɑ ɹ m d; armed
l ˈ ɛ dʒ ə s l ˌ eɪ t ɪ v; legislative
b ɹ ə z ˈ ɪ l; brazil
k ə n v ˈ ɛ n ʃ ə n; convention
ɹ ˈ ɛ l ə t ɪ v l i; relatively
f ˈ ɔ l z; fall's falls
b ɹ ˈ ɑ n z; brons bronze
v ˈ ɑ l j u m; volume
ˈ ɪ n dʒ ɝ i; injury
k l ˈ æ s ɪ k ə l; classical
ɪ g z ˈ æ m p ə l z; examples
ˌ ɛ dʒ ə k ˈ eɪ ʃ ə n ə l; educational
b ˈ ɪ l j ə n; billion
b ɹ ˈ ɪ ŋ; bring
ɹ ˈ i z ə n; reason
v ˈ ɪ z ɪ t; visit
k ˌ ɔ ɹ ˈ i ə; korea
m ˈ ɑ ɹ k t; marked
ɹ ɪ l ˈ ɪ dʒ ə n; religion
k l ˈ æ s ɪ k; classic
s ə p l ˈ aɪ; supply
ə l ˈ aʊ ɪ ŋ; allowing
ˈ æ k t s; act's acts
k ˈ ɑ m b æ t; combat kombat
b ɹ ˈ eɪ k; brake break
s ˈ eɪ; say saye se seay
f ˈ æ k ə l t i; faculty
l ˈ ʊ k; look
ˈ oʊ l d ə s t; oldest
v ˈ aɪ s; vice vise
t ɹ æ n s f ˈ ɝ; transfer
f ɹ ˈ i k w ə n t l i; frequently
m ˈ ɛ θ ə d z; methods
t ˈ aʊ n z; town's townes towns
ˈ eɪ dʒ ə n t; agent
m ˈ ɛ m ɝ i; memory
p ɹ ˈ ɑ p ɝ t i z; properties property's
ɛ n t ˈ aɪ t ə l d; entitled
ˈ ɔ ɹ k ə s t ɹ ə; orchestra
ɹ ˈ ɛ f ɝ ə n s; reference
s ˈ ɛ t ə l d; settled
s t ˈ i l; steal steel steele steil stiehl
b ˈ ɑ t; baht bott bought
f ˈ æ n z; fan's fans fans'
ˈ ɑ ɹ t ə k ə l z; articles
n ˈ ɛ ð ɝ l ə n d z; netherlands
ˌ ɛ t s ˈ ɛ t ɝ ə; etc etc.
f ˈ aʊ n d ɪ ŋ; founding
g ˈ æ l ɝ i; gallery
s ˈ ɪ m p ə l; simple
ə n ˈ eɪ b ə l; unable
s ˈ aɪ d z; side's sides sides'
h ˈ oʊ l d z; holds
p ˈ ɔ ɹ ʃ ə n; portion
ˈ oʊ ʃ ə n; ocean
g ˈ ʌ n; gun gunn
n ˌ ɔ ɹ θ w ˈ ɛ s t; northwest
m ˈ aɪ k; mike
ə n n ˈ oʊ n; unknown
b ə t ˈ æ l j ə n; battalion
k l ˈ eɪ m; claim
s ˈ ɛ k ʃ u ə l; sexual
ˈ ɑ d i ə n s; audience
ɹ ə f j ˈ u z d; refused
t ɹ ˈ ʌ s t; trust
s t ˈ ɑ ɹ ɪ ŋ; starring
n ˈ ɛ s ə s ˌ ɛ ɹ i; necessary
b ˈ ɪ l b ˌ ɔ ɹ d; billboard
p ˈ ɝ m ə n ə n t; permanent
s ˈ i k ɹ ə t; secret
s ˈ ɝ tʃ; search
ˈ ɛ ɹ d; aird aired erred
s ˈ ɝ n ˌ eɪ m; surname
k ɹ i ˈ eɪ t ɪ ŋ; creating
p ɹ ˌ ɛ z ə d ˈ ɛ n ʃ ə l; presidential
g ˈ ɛ s t; guessed guest
p ˈ i k; paek peak peake peek pique
k ˌ ɔ ɹ ˈ i ə n; korean
n ˈ u k l i ɝ; nuclear
n ˈ ɔ ɹ m ə l; normal
ɹ i t ˈ aɪ ɝ m ə n t; retirement
t ɹ ˌ æ n s p ɝ t ˈ eɪ ʃ ə n; transportation
s ˌ aʊ θ ˈ i s t; southeast
ˌ ɛ k s ə b ˈ ɪ ʃ ə n; exhibition
w ˈ ɝ l d w ˈ aɪ d; worldwide
b ˌ i s ˈ i; b.c. bc
ˌ ɪ n s t ɪ t ˈ u ʃ ə n z; institution's institutions institutions'
s ˈ ɪ t ə z ə n z; citizen's citizens
ˈ ʌ l t ə m ə t l i; ultimately
ɪ k s p ˈ æ n ʃ ə n; expansion
k ˈ ɑ n f l ɪ k t; conflict
ɹ ˈ æ ŋ k; ranck rank ranke
p ˌ ɝ s ə n ˈ ɛ l; personnel
ɹ ˈ ɪ s k; risc risk riske
ˌ æ p l ə k ˈ eɪ ʃ ə n; application
ɪ f ˈ ɛ k t ɪ v; effective
k ˈ ʌ v ɝ z; covers
v ˈ i h ɪ k ə l z; vehicle's vehicles
p ˈ aʊ ɝ z; power's powers powers'
ɝ ˈ ɛ s t ɪ d; arrested
s t ˈ ɔ ɹ m; storm
k ɹ ˈ aʊ n; crown crowne
ə t ˈ ɛ m p t s; attempts
ə n l ˈ aɪ k; unlike
ˌ ɪ n t ˈ ɪ ɹ i ɝ; interior
ɹ ˈ ɪ ŋ; ring ringe wring
k ˈ ɑ m; calm com comm qom
s ə p ˈ ɔ ɹ t ɪ ŋ; supporting
p ˈ ɑ ɹ t n ɝ; partner
s t ˈ ɑ k; staack stock stocke stokke
t ɹ ˈ i z; trease trees treese
b ɹ ˈ oʊ k; broke
f ˌ ɛ d ɝ ˈ eɪ ʃ ə n; federation
s ˌ i d ˈ i; cd
k ˈ aɪ n d; kind
ɪ k s t ˈ ɛ n s ɪ v; extensive
h ˈ oʊ l i; holy wholly
ˈ ɑ k s f ɝ d; oxford
f l ˈ aɪ ɪ ŋ; flying
w ˈ ɑ n t; want
f ə l ˈ ɑ s ə f i; philosophy
b ɹ ˈ æ n d; brand brande
p ˈ oʊ ə t ɹ i; poetry
s ˈ ɑ k ɝ; soccer sochor
tʃ ˈ ɔɪ s; choice choyce
m ˈ i t ɝ z; meters metres
s ˈ ɛ n s; sense
ˌ ɪ n t ˈ ɛ l ə dʒ ə n s; intelligence
g ɹ ˈ æ dʒ ə w ə t; graduate
ə l ˈ aɪ ə n s; alliance
k ɹ ˈ ɪ s; chris chris' chriss cris criss kris kriss
m ˈ ɪ s; mis miss
f ˈ ɔ t; faught fought
d ˌ ɑ k j ə m ˈ ɛ n t ɝ i; documentary
j ˈ ɛ l oʊ; yellow
p ɝ f ˈ ɔ ɹ m; perform
ˈ ɛ n t ɹ i; entry
k ˈ ɑ p i z; copies
f ˈ eɪ z; fay's faye's faze fe's phase
f ˈ ʌ n d; fund pfund
ɹ ˌ ɛ k ə g n ˈ ɪ ʃ ə n; recognition
s ˈ ɛ t s; sets
m ˈ æ k s ə m ə m; maximum
h ˈ æ n d z; hand's hands
k ə m ˈ ɪ ʃ ə n d; commissioned
k ˈ ɑ m j ə n ə s t; communist
ˌ æ g ɹ ə k ˈ ʌ l tʃ ɝ ə l; agricultural
d ɹ ˈ ʌ g; drug
ɛ m p l ˈ ɔɪ d; employed
ˈ ɑ k j ə p ˌ aɪ d; occupied
s t ˈ æ n d ɝ d z; standard's standards
dʒ ˈ æ k s ə n; jackson
s ˈ aɪ n; sein sign sine
v ˈ ɪ z ɪ t ɪ d; visited
ə t ˈ ɛ m p t ɪ d; attempted
s ˈ ɛ k t ɝ; sector
p ˈ i p ə l z; peeples people's peoples peoples'
s w ˈ i d ə n; sweden sweeden
ˈ ɔ f ə s ə z; offices
p ɹ ə v ˈ ɪ n ʃ ə l; provincial
p ɹ ɪ v ˈ ɛ n t; prevent
ɹ ˈ aɪ z; ries rise
ˌ ɪ n t ˈ ɝ n ə l; internal
d ə m ˈ ɛ s t ɪ k; domestic
ɹ ə s ˈ i v ɪ ŋ; receiving
ə p ɹ ˈ u v d; approved
d ˈ oʊ n t; don't
ˈ ɛ dʒ; edge
ˈ æ k ʃ ə n z; action's actions
f ˈ ɑ k s; fox foxx
d ɹ ˈ ɑ p t; dropped
n ˈ i d z; needs
p ˈ aʊ ɝ f ə l; powerful
l ˈ ɑ t; lat lot lott lotte
ə t ˈ æ k t; attacked
k ə n s ˈ ɪ s t ə d; consisted
ə d ˈ ʌ l t; adult
l ˈ ɪ ɹ ɪ k s; lyrics
ə p ˈ oʊ z d; opposed
s ˈ ɛ k s; sex
tʃ ˈ ɪ l d ɹ ə n z; children's childrens childrens'
f ˈ æ k t ɝ i; factory
h ˈ oʊ l d ɪ ŋ; holding
h ˈ ɪ l z; hill's hills hills'
t ɹ ˈ ɑ p ɪ k ə l; tropical
w ˈ eɪ z; wais way's ways weighs
s ˈ ɛ t ɪ ŋ; setting
m ˈ æ t ɝ; matter
ˌ ɪ n k ɹ ˈ i s ɪ ŋ; increasing
ʃ ˈ ɛ ɹ d; shared
ˌ æ p l ə k ˈ eɪ ʃ ə n z; applications
g ˈ ʌ n z; gun's gunn's guns
b ɹ ˈ ɔ d k ˌ æ s t ɪ ŋ; broadcasting
b ˈ oʊ l; boal boehl bohl bole boll bowl buol
t ɹ ˈ i t i; treaty
v ˈ i h ɪ k ə l; vehicle
b ˈ æ d; bad
ˌ ɪ n v ˌ ɛ s t ə g ˈ eɪ ʃ ə n; investigation
s t ˈ i v; steve stieve
k w ˈ ɔ ɹ t ɝ; quarter
s ˈ ʌ m w ˌ ʌ n; someone
g ɹ ˈ eɪ t ə s t; greatest
n ˌ ɔ ɹ θ ˈ i s t; north-east northeast
s ˈ ʌ n d ˌ eɪ; sunday
l ˈ ɔ n tʃ; launch
w ˈ ɪ l s ə n; willson wilson
b ˈ i t; beat beet
f ˈ ɪ k ʃ ə n; fiction
l oʊ k ˈ eɪ ʃ ə n z; locations
ˌ ɪ n k ˈ ɔ ɹ p ɝ ˌ eɪ t ɪ d; incorporated
ɪ s t ˈ æ b l ɪ ʃ m ə n t; establishment
s p ə s ˈ ɪ f ɪ k l i; specifically
s t ˈ u d i ˌ oʊ z; studio's studios studios'
s t ˈ eɪ; stay
w ˈ ɔ l z; wall's walles walls walz
k ə n v ˈ ɝ t ɪ d; converted
w ˈ i k l i; weakley weakly weekley weekly
p ɹ ˈ oʊ g ɹ ˌ æ m ɪ ŋ; programing programming
f ˈ ʌ ŋ k ʃ ə n z; functions
ˈ ɛ n d ɪ ŋ; ending
d ˈ æ n j ə l; daniel
ˈ æ n ə m ə l; animal
ˈ ɑ ɹ θ ɝ; arthur
b ˈ ɑ b; baab bob bobb
ɹ ˈ i z ə n z; reasons
ˈ ɑ ɹ k ə t ˌ ɛ k t; architect
f ɹ ˈ æ n s ə s; francis francis'
k ɹ ˈ ɪ m ə n ə l; criminal
dʒ ˈ ɪ m; gym jim
s t ɹ ˈ ʌ k tʃ ɝ z; structure's structures
m ˌ ɛ t ɹ ə p ˈ ɑ l ə t ə n; metropolitan
aɪ d ˈ ɛ n t ɪ t ˌ i; identity
m ˈ ɛ n t; meant mente
k ə n s t ˈ ɪ tʃ u ə n s i; constituency
b j ˈ ʊ ɹ oʊ; bureau burow
k ə n d ˈ ɪ ʃ ə n; condition
tʃ ˈ ɝ tʃ ɪ z; churches churches'
k ə m j ˌ u n ə k ˈ eɪ ʃ ə n z; communications communications'
d ɪ v ˈ ɛ l ə p ɪ ŋ; developing
ɹ ˌ ɛ p ɹ ɪ z ˈ ɛ n t; represent
d ɪ t ˈ ɝ m ə n d; determined
k ə n t ɹ ˈ ɪ b j u t ɪ d; contributed
ɹ ˌ ɛ p ɹ ɪ z ˈ ɛ n t ɪ ŋ; representing
b ˈ æ n d z; band's bands
ˈ ɑ n t u; onto
p ˈ oʊ p; pope
ɛ g z ˈ ɪ s t ə n s; existence
ɹ ˈ oʊ d z; rhoades rhoads rhodes road's roades roads rodes
p ˈ i s ə z; pieces
l ˈ ɛ t; let lett
s p ˈ i tʃ; speech
f ˈ ʌ n d z; fund's funds funds'
k ˈ ɑ n t ˌ æ k t; contact
s l ˈ aɪ t l i; slightly
k ˈ eɪ p; cape
s ˈ ɛ n tʃ ɝ i z; centuries century's
b ɪ g ˈ ɪ n; begin
k w ˈ ɛ s tʃ ə n; question
m ˈ oʊ b ə l; mobil mobile
w ˈ aɪ l d; weild wild wilde wylde
ɹ ə f ˈ ɝ z; refers
d ɝ ˈ aɪ v d; derived
ˈ eɪ d; ade aid aide eyde
ɪ k s p ɹ ˈ ɛ s; express express'
m ˈ ɪ l; mil mill mille
b ˈ æ s; bass basse
k ˈ ɑ n t ɛ s t; contest
ˈ ɛ n d z; ends
k w ˈ ɑ l ə f ˌ aɪ d; qualified
ˈ ɛ n ə m i; enemy
t ˈ eɪ l ɝ; tailor tayler taylor
k ə n t ˈ eɪ n ɪ ŋ; containing
k ə n ˈ ɛ k ʃ ə n; connection connexion
ɹ ˈ ɛ s l ɪ ŋ; wrestling
k ə n ˈ æ l; canal
ˈ æ n d ɹ u; andreu andrew
p ˈ ʌ b l ɪ ʃ ɪ ŋ; publishing
f ˈ oʊ k ə s t; focused focussed
w ˈ ɪ n z; win's wins wynn's wynns
æ θ l ˈ ɛ t ɪ k; athletic
ə k ˈ ɝ z; occurs
p ˈ aɪ l ə t; pilot
ɹ ˈ ɛ ɹ; rare reher
w ˈ eɪ t; wait waite waitt wayt weight whate
m ɝ ˈ i ə; maria
k ˈ ɔ ɹ n ɝ; corner koerner korner
ɹ ɪ g ˈ ɑ ɹ d ɪ ŋ; regarding
g l ˈ æ s; glas glass
p ˈ ɛ ɹ; pair pare pear
s ˈ ɝ k ə t; circuit
d ˈ u ɪ ŋ; dewing doing
ˈ ɪ n f l u ə n s t; influenced
k ˈ oʊ; co co. coe ko koh
k ˌ ɑ m p ə z ˈ ɪ ʃ ə n; composition
p ˌ ʌ b l ɪ k ˈ eɪ ʃ ə n z; publication's publications publications'
ˌ ɪ n v ˈ aɪ t ə d; invited
b ˈ oʊ t; boat
w ˈ ɛ p ə n z; weapon's weapons weapons'
ɹ ˈ aɪ t ɝ z; writer's writers writers'
f ˈ eɪ s t; faced
ˌ ɪ l ˌ ɛ k t ɹ ˈ ɑ n ɪ k; electronic
θ ˈ ɪ ŋ k; think
b ɪ l ˈ i v; believe
s ə k s ˈ ɛ s f ə l i; successfully
ˈ ɛ n dʒ ə n ˈ ɪ ɹ; engineer
d ˈ eɪ v ə s; davis davis'
ə b ˈ æ n d ə n d; abandoned
k ˈ æ n z ə s; kansas kansas'
s t ˈ æ n d; stand
ˈ ɛ n t ɹ ə n s; entrance
m ˌ ɪ n ɪ s ˈ oʊ t ə; minnesota
w ˈ aɪ; wai why wye y y.
ˈ ɛ dʒ ə k ˌ eɪ t ɪ d; educated
w ˈ aɪ n d; wind wined
ɪ s k ˈ eɪ p; escape
d ɪ s p l ˈ eɪ; display
m ˈ ɛ k s ə k ə n; mexican
