ð ə; the
t ɹ ˈ eɪ d ə z; traders
s t ɹ ˈ ɛ ŋ θ ə n; strengthen
s ə k s ˈ ɛ s ɪ z; successes
m ˌ ɒ n t ɪ n ˈ iː g ɹ əʊ; montenegro
t ˈ æ l ə n t s; talents
k ə m b ˈ aɪ n z; combines
k ə m p ˈ æ t ɪ b ə l; compatible
θ ˈ ɛ f t; theft
ɹ ɪ b ˈ ɛ k ə; rebecca
d əʊ n ˈ eɪ ʃ ə n; donation
dʒ ˈ iː n ˌ əʊ m; genome
b ɹ ˈ eɪ k d ˌ aʊ n; breakdown
v ˈ ɛ dʒ t ə b ə l z; vegetables
p ɹ ˈ ɛ s t; pressed
j uː n ˈ æ n ɪ m ə s; unanimous
d ɹ ə m ˈ æ t ɪ k l i; dramatically
ˈ ɔː t ə m ˌ eɪ t ɪ d; automated
ˌ ʌ n ɪ k s p ˈ ɛ k t ɪ d; unexpected
ə s j ˈ uː m ɪ ŋ; assuming
b ɹ ˈ æ n d ə n; brandon
k ə n f ˈ aɪ n d; confined
ʃ ˈ aɪ ə; shire
w ˈ ɪ n tʃ ɪ s t ə; winchester
k ˈ ʌ m f t ə b ə l; comfortable
dʒ ˈ ɛ f ɹ i; geoffrey jeffrey
p ˈ æ t ə n t s; patents
ɹ ɪ f l ˈ ɛ k ʃ ə n; deflection reflection
d ˈ ɑː w ɪ n; darwin
d ɪ l ˈ ɪ b ɹ ɪ t l i; deliberately
f ˈ ɑː ð ə z; fathers
k ɹ ˈ eɪ n; crane
θ ɹ ˈ ɛ t n ɪ ŋ; threatening
ɪ n h ˈ ɛ ɹ ɪ t ə n s; inheritance
ˈ æ b ə t; abbot
s w ˈ ɔː n; sworn
ɪ n t ˈ ɛ n s ɪ v; intensive
l ˈ ʌ k; luck
ˈ æ n s ˌ ɛ s t ə; ancestor
ˈ ɑː ɹ ɪə; aria
d ˈ iː f ɔː l t; default
b ˌ ɛ l ə ɹ ˈ uː s; belarus
ɹ ɪ d j ˈ uː s ɪ z; reduces
p ˈ ɪə s; pierce
p ˈ ɪ s t ə l; pistol
ˈ ɛ θ ɪ k ə l; ethical
ɹ ɪ l ˈ iː v d; relieved
ˈ æ ʃ l i; ashley
s t ɹ ˈ iː m ɪ ŋ; streaming
f ˈ ɛ m ɪ n ɪ n; feminine
ə k ɹ ˌ ɛ d ɪ t ˈ eɪ ʃ ə n; accreditation
k ˈ ɪ n d ə g ˌ ɑː t ə n; kindergarten
t ˈ æ k s i; taxi
ə k s ˈ ɛ p t ə b ə l; acceptable
b ˈ ɒ t ə l; bottle
t ɹ ˈ iː t m ə n t s; treatments
w ˈ ʊ l v z; wolves
t ɹ ˌ ʌ s t ˈ iː; trustee
k ˌ ɒ n s ə n t ɹ ˈ eɪ ʃ ə n z; concentrations
v əʊ k ˈ eɪ ʃ ə n ə l; vocational
p ˈ ɑː θ w ˌ eɪ; pathway
h ˈ eɪ t i; haiti
ˈ æ t ə m z; atoms
g ˌ æ ɹ ə n t ˈ iː d; guaranteed
k ə m p l ˈ aɪ ə n s; compliance
l ˈ ɪ b ɪə; libya
n əʊ t ˈ ɔː ɹ ɪə s; notorious
k ˌ æ m b ˈ əʊ d ɪə; cambodia
v ˈ aɪ ɹ ə l; viral
s t ˈ æ t ɪ k; static
s ə f ˈ ɪ s t ɪ k ˌ eɪ t ɪ d; sophisticated
d ɪ s ə b ˈ ɪ l ɪ t i z; disabilities
d ˈ ɑː k ə; darker
n ə ɹ ˈ eɪ t ə; narrator
ə k s ˈ ɛ p t s; accepts
m ˈ ɒ b; mob
t ˈ ɪə z; tears
m ˈ ɒ n ɪ k ə; monica
ʃ ˈ əʊ k ˌ eɪ s; showcase
t ˈ æ n; tan
l ə dʒ ˈ ɪ s t ɪ k s; logistics
ʃ ˈ æ ɹ ə n; sharon
s ə v ˈ aɪ v z; survives
d ə ɹ ˈ ɪ v ə t ɪ v; derivative
t ˈ ɛ n d ɪ d; tended
d ɪ t ˌ ɜː m ɪ n ˈ eɪ ʃ ə n; determination
l ˈ uː z ɪ z; loses
m ˈ ɪ n i; mini
b ˈ ɒ ɹ ˌ əʊ d; borrowed
t ˈ aɪ m ɪ ŋ; timing
ˈ ɪ m p ˌ ɔː t; import
k ˈ iː b ˌ ɔː d z; keyboards
v ˈ ɪ k ə; vicar
h ˈ aɪ ə ɹ ˌ ɑː k i; hierarchy
d ɪ s k ɹ ˈ ɪ p ʃ ə n z; descriptions
f ˈ ɪ ʃ ə ɹ i z; fisheries
ˈ æ l g ə ɹ ˌ ɪ ð ə m z; algorithms
m ˌ ɔː t ˈ æ l ɪ t i; mortality
k ˈ əʊ l m ə n; coleman
m ˈ uː d; mood
ˌ æ k t ɪ v ˈ eɪ ʃ ə n; activation
g ɹ ˈ iː k s; greeks
k w ˈ ɔː t ə l i; quarterly
ˌ ɪ n s t ə l ˈ eɪ ʃ ə n z; installations
ɛ n ʃ ˈ ɔː ɹ ɪ ŋ; ensuring
ˈ iː t ə n; eaten eton
t ɹ æ n z ˈ æ k ʃ ə n; transaction
t ˈ ɛ k n ɪ k l i; technically
m ˈ æ tʃ ɪ ŋ; matching
æ n t ˈ ɪ s ɪ p ˌ eɪ t ɪ d; anticipated
g l ˈ ɒ s t ə; gloucester
f ɪ n ˈ ɒ m ɪ n ə; phenomena
s p ˈ ɛ ʃ ə l ˌ aɪ z ɪ ŋ; specializing
s p ˌ ɛ s ɪ f ɪ k ˈ eɪ ʃ ə n z; specifications
p ɹ ˈ iː m ɪə m; premium
ə b z ˈ ɜː v; observe
f ˈ eɪ θ f ə l; faithful
m ˈ ɪ d l ə n d z; midlands
p ɹ ˈ ɛ z ə n t l i; presently
ˈ ɑː n s ə z; answers
ˈ ɔː d ɪ k; nordic
ˈ ɛ k s p ˌ ɔː t s; exports
m ˈ ɛ m ə ɹ ə b ə l; memorable
ˈ iː m eɪ l; email
k ˈ aɪ; chi
ə m ˈ ɛ n d ɪ d; amended
ɪ k s p l ˈ ɪ s ɪ t; explicit
m ˈ ɛ t ɹ ɪ k; metric
ɪ ɹ ˈ əʊ ʒ ə n; erosion
ˈ æ ʃ ɪ z; ashes
f l ˈ eɪ m z; flames
s ə b m ˈ ɪ ʃ ə n; submission
k ˈ æ n b ə ɹ ə; canberra
k ˌ ɒ n t ɪ n j ˈ uː ɪ t i; continuity
ɪ k s ˈ iː d; exceed
s ˈ ɪ k s t i; sixty
k ɹ ˈ aɪ; cry
k ˈ ʌ p s; cups
ə b z ˈ ɜː v ə z; observers
p ɹ ˈ ɒ m ɪ s ɪ z; promises
ɹ ˈ ɪ b ə n; ribbon
p ˈ ɔː t ə b ə l; portable
ˈ ɪ n v ə n t ə ɹ i; inventory
f ˈ aɪ b ə; fiber fibre
s ˈ ɛ k ʃ ʊə l i; sexually
s ˈ əʊ d ɪə m; sodium
ɹ ˈ aɪ d z; rides
s ˌ ɪ m j ʊ l ˈ eɪ ʃ ə n; simulation
k l ˈ aɪ d; clyde
ˈ iː v ə; eva
h ˈ æ n ə; hannah
h ˈ ɒ n d ə; honda
k ˈ ɒ s t j uː m z; costumes
b ˈ aɪ ə s; bias
z ˈ ɑː g ɹ ɛ b; zagreb
ɹ ɪ k ɹ ˈ uː t; recruit
ɹ ˈ eɪ n dʒ ə; ranger
k w ˈ ɒ ɹ i; quarry
s ˈ ɒ f t b ˌ ɔː l; softball
ɪ n s ə f ˈ ɪ ʃ ə n t; insufficient
ʃ ˈ eɪ n; shane
s w ˈ ɪ m; swim
g ˈ aɪ d z; guides
s ˈ iː l d; sealed
f ɪ n ˈ æ n ʃ ə l i; financially
h ˈ æ p ɪ n ɪ s; happiness
s ə l ˈ ɒ n; salon
ɹ ˌ ɪə l ˈ ɪ s t ɪ k; realistic
tʃ ˈ æ d; chad
ɹ ɪ ˈ æ k t ə; reactor
b ˈ uː d ə; buddha
æ n t ˈ ɛ n ə; antenna
v ˈ iː z ə; visa
t ɹ ˈ ɪ k; trick
b ˈ ɜː n t; burnt
s ˈ aɪ k ə l z; cycles
ə m ˈ iː n əʊ; amino
d ɪ s p l ˈ eɪ s m ə n t; displacement
ɹ ˈ æ p ɪ d z; rapids
ˈ ɔː ɹ ɪ ˌ ɛ n t ɪ d; oriented
d ɪ b ˈ eɪ t s; debates
ˈ æ l p s; alps
d ˌ ɛ f ɪ n ˈ ɪ ʃ ə n z; definitions
m ˈ ɑː k ə; marker
p ˈ æ ɹ ə d i; parody
ˈ aɪ k ˌ ɒ n; icon
ɹ ˈ əʊ p; rope
d ɪ v ˌ ɛ l ə p m ˈ ɛ n t ə l; developmental
b ˈ æ d m ɪ n t ə n; badminton
s ˈ æ t ɪ s f ˌ aɪ d; satisfied
m ˈ ɪ d ə l s ɛ k s; middlesex
s ə b dʒ ˈ ɛ k t ɪ d; subjected
p ə t ɹ ˈ ɪ ʃ ə; patricia
ˌ ʌ n d ə n ˈ iː θ; underneath
h ˈ iː t ɪ d; heated
ʌ n j ˈ uː ʒ ʊə l i; unusually
p ɑː t ˈ ɪ s ɪ p ə n t; participant
ˈ æ d v ɛ n t; advent
p ɑː t ˈ ɪ ʃ ə n; partition
ə t ˈ ɒ p; atop
ˈ ɛə w ˌ eɪ z; airways
k ə ɹ ˈ ɛ k t l i; correctly
ˈ ɪ n t ə v ə l; interval
l ˈ eɪ b ə l d; labeled labelled
m aɪ n ˈ ɒ ɹ ɪ t i z; minorities
m ˈ æ k s w ə l; maxwell
ʃ ˈ ɑː k; shark
t ɹ ˈ eɪ s i; tracey tracy
ɔː l t ˈ ɜː n ə t ɪ v l i; alternatively
s ə f ˈ ɪ ʃ ə n t l i; sufficiently
ˌ æ n t ˈ ɑː k t ɪ k ə; antarctica
p ˈ əʊ k ə; poker
ɪ k s p ˈ aɪ ə d; expired
ɪ m ˈ ɜː dʒ ə n s; emergence
f ˈ ɪə z; fears
b ˈ ɛ t; bet
ˈ ɪ n s t ə n t; instant
p ɹ ə m ˈ əʊ t s; promotes
ˈ æ n ə l ɪ s t; analyst
n ˈ aʊ ə d ˌ eɪ z; nowadays
m ˌ aɪ s ˈ ɛ l f; myself
h ə ɹ ˈ aɪ z ə n; horizon
k ˈ æ f eɪ; cafe
n ɒ n p ɹ ˈ ɒ f ɪ t; nonprofit
b ˈ iː t ə l z; beatles beetles
k ˈ ʌ b z; cubs
k ˈ ɛə ɹ i; carey
p ˈ ɪ k s; picks pics
ˈ eɪ p ɛ k s; apex
w ˈ əʊ n t; won't
f ˈ ɛ n s; fence
d ɪ m ˈ aɪ z; demise
ə d ɹ ˈ ɛ s ɪ ŋ; addressing
p ˈ ɪə z; peers piers
ɹ ɪ v ˈ ɪ ʒ ə n; revision
ˈ aʊ t l ˌ ɛ t; outlet
w ˈ aɪ t s; whites
k ˈ aʊ n t ɛ s; countess
ˈ æ t ɪ t j ˌ uː d z; attitudes
l ˈ ʌ v ə z; lovers
tʃ ˈ ɑː n s ɪ z; chances
ɹ ɪ z ˈ aɪ d; reside
ˈ ɪ n s ˌ aɪ t; insight
d ˈ ɛ b ɹ i; debris
p ˈ ɪ n; pin
p ɹ ɪ s ˈ ɪ ʒ ə n; precision
l ˈ ɪ s ə n ə z; listeners
ˈ əʊ v ə n aɪ t; overnight
ɪ k s t ˈ ɛ n ʃ ə n z; extensions
s p ˈ eɪ ʃ ə l; spatial
s t ˈ ʌ k; stuck
ə n ˈ æ t ə m i; anatomy
l ˈ əʊ d ɪ ŋ; loading
ˈ eɪ dʒ ɪ ŋ; ageing aging
ˈ ɔː b ə n; auburn
k ˈ ɒ v ə n t ɹ i; coventry
b l ˈ ʌ d i; bloody
d ʌ n d ˈ iː; dundee
t ɹ ˈ aʊ t; trout
θ ɹ ˈ ɛ ʃ ˌ əʊ l d; threshold
s ˈ ʌ t ə n; sutton
ɹ ɪ n j ˈ uː ə b ə l; renewable
ˈ aɪ v ə ɹ i; ivory
d ɪ p ˈ ɒ z ɪ t; deposit
d ˈ ɒ l f ɪ n z; dolphins
t ɹ ˈ ɪ m; trim
p ˈ ɪ ɹ ə m ɪ d; pyramid
t ɹ ˌ æ n s k ɹ ˈ ɪ p ʃ ə n; transcription
k ˈ ɒ m p l ɪ m ə n t; complement compliment
s ˈ æ d; sad
ə s ˈ ɛ s t; assessed
b ɹ ˈ iː tʃ; breach
s ˌ aɪ k ɪ ˈ æ t ɹ ɪ k; psychiatric
d ˌ ɛ k ə ɹ ˈ eɪ ʃ ə n z; decorations
ˈ ɛə ɹ ə s p ˌ eɪ s; aerospace
ɪ k s p ˈ ɛ k t; expect
ˈ əʊ m ə h ˌ ɑː; omaha
p ɹ ə p ˈ ɔː ʃ ə n ə l; proportional
v ˈ iː n ə s; venus
l ˈ ɪ l i; lily
ɹ ɪ k ɹ ˈ uː t ɪ ŋ; recruiting
s ˈ eɪ f l i; safely
s t ˈ əʊ k; stoke
l ˈ ʌ m b ə; lumber
dʒ ˈ ɛ n j ʊ ɪ n; genuine
d ɪ l ˈ ɪ v ə ɹ ɪ ŋ; delivering
m ˈ iː l; meal
s ˌ ɛ k ʃ ʊ ˈ æ l ɪ t i; sexuality
t ɪ b ˈ ɛ t; tibet
ɹ ɪ m ˈ ɑː k s; remarks
h ˈ əʊ l d ə z; holders
m ˈ æ tʃ t; matched
s ˈ ɑː g ə; saga
s ˈ ɜː k ɪ t s; circuits
s l ˈ eɪ t; slate sleight
t ɹ ˈ ɪ g ə; trigger
f ˈ ɪə s; fierce
b ˈ æ ŋ; bang
v ˈ ɜː b ə l; verbal
k l ˈ iː n ɪ ŋ; cleaning
n ˈ æ ʃ ə n ə l ˌ ɪ z ə m; nationalism
ɹ ɪ p ˈ ɔː t ə z; reporters
k ˈ ɔː p; corp
ə f ˈ ɛ k t s; affects
k ɑː t ˈ uː n z; cartoons
b ˈ uː s t; boost
s ˈ ɒ n ɪ k; sonic
d ɪ l ˈ eɪ z; delays
ə d v ˈ ɜː t ɪ s m ə n t s; advertisements
k ˈ ɪ d n ˌ æ p t; kidnapped
k ə m p ˈ ɛə ɹ ɪ ŋ; comparing
æ ŋ g ˈ əʊ l ə; angola
ˈ ɪ m p æ k t s; impacts
s ˈ ʌ n s ˌ ɛ t; sunset
ˈ ɛ k əʊ; echo
v ˈ əʊ t ə; voter
ɪ k l ˈ ɪ p s; eclipse
p ɹ ˈ ɒ f; prof
d ɪ p ˈ ɛ n d; depend
g ˌ æ ɹ ə n t ˈ iː; guarantee
d ˈ ɪ ʃ ɪ z; dishes
n ˈ eɪ b ə z; neighbors neighbours
k l ˈ æ ʃ; clash
n j ˈ uː ə k; newark
m ˌ ɒ d ɪ f ɪ k ˈ eɪ ʃ ə n; modification
ˌ ʌ n ə w ˈ ɛə; unaware
k əʊ ˈ ɔː d ɪ n ˌ eɪ t; coordinate
h ˈ eɪ s t ɪ ŋ z; hastings
h ˈ eɪ; hay hey
ə f ˈ ɔː d; afford
v ɒ l k ˈ eɪ n əʊ; volcano
ˈ ɒ d z; odds
f æ n t ˈ æ s t ɪ k; fantastic
s t ˈ ɜː l ɪ ŋ; sterling stirling
m ˌ ɪ d w ˈ ɛ s t; midwest
k ɹ ˈ ɪ m ɪ n ə l z; criminals
m ˈ aʊ n d; mound
s ə v ˈ aɪ v ə; survivor
ʃ ˈ ɜː l i; shirley
d ˈ ɜː t; dirt
s ɪ l ˈ ɛ k t ɪ v; selective
ʃ ˈ iː t s; sheets
k ˈ æ m ɪ ˌ əʊ; cameo
d ˈ ʌ d l i; dudley
ə ɹ ˈ aɪ z; arise
v ˈ aʊ ə l; vowel
d ˈ ɒ m ɪ n ə n s; dominance
ɹ ˈ eɪ s ˌ ɪ z ə m; racism
ɹ ɪ s ˈ ɛ p t ə z; receptors
d ɹ ˈ ɒ p s; drops
w ˈ ʌ n d ə f ə l; wonderful
s ˈ uː t ɪ d; suited
d ˈ eɪ v ɪ d s ə n; davidson
k ɹ ɪ s t ˈ iː n; christine
ɹ ˈ uː ʒ; rouge
d ɪ s p ˈ əʊ z ə l; disposal
tʃ ˈ iː p; cheap
m ˈ ɜː dʒ; merge
ʃ ˈ ɒ k t; shocked
p l ˈ iː z; please
ˈ æ n dʒ ə l ə; angela
h ˈ aɪ k ɪ ŋ; hiking
f ɹ ˈ ɒ s t; frost
k ˈ ɒ n s ə n t ɹ ˌ eɪ t; concentrate
p ˈ ʊ ʃ ɪ ŋ; pushing
ɹ ɪ s ˈ ɪ p ɪə n t s; recipients
d ɪ k ˈ eɪ; decay
f ˌ ɑː m ə s j ˈ uː t ɪ k ə l; pharmaceutical
f ˈ æ k ʃ ə n z; factions
s ˈ ɪ l ɪ k ə n; silicon
j ˈ ɛ m ə n; yemen
p ɹ ɪ f ˈ ɜː; prefer
n ˈ ɜː s ɪ z; nurses
b ˈ ɪ l d ə; builder
s ˈ ʌ b s t ə n s ɪ z; substances
p ˈ uː l z; pools
d aɪ ˈ ɒ k s ˌ aɪ d; dioxide
d ˈ ɛ s p ɹ ɪ t; desperate
t ɹ ˈ ɔː m ə; trauma
ɪ n dʒ ˈ ɛ k ʃ ə n; injection
p ˈ ɔɪ n t ɪ ŋ; pointing
k ˈ æ l s ɪə m; calcium
m ˈ ɒ l ɪ k j ˌ uː l; molecule
s l ˈ əʊ g ə n; slogan
ʃ ˈ ɛ p ə d; shepherd
ə v ˈ ɔɪ d ɪ ŋ; avoiding
ə p ˈ ɔɪ n t m ə n t s; appointments
k ə m p ɹ ˈ ɛ ʃ ə n; compression
f ˈ ɪ n; fin finn
s p ˈ ɑː; spa spar
b ɹ ˈ aɪ d; bride
ɪ n d j ˈ uː s t; induced
s ˈ ɪ ŋ g j ʊ l ə; singular
m ˈ ɪ k; mic mick
s p ˈ iː tʃ ɪ z; speeches
s t ˈ ɛ d ɪ l i; steadily
b ˈ iː v ə; beaver
l ˈ æ t ɪ t j ˌ uː d; latitude
t ˈ aɪ t ə n z; titans
t j ˈ uː m ə; tumor tumour
g ˈ ɑː z ə; gaza
s ˈ iː k ɹ ɪ t s; secrets
p l ˈ ʊə ɹ ə l; plural
s ˈ ʌ n ʃ ˌ aɪ n; sunshine
b ˈ ɛ v ə l i; beverley beverly
v ˈ ɪ s t ə; vista
ə l ˈ uː m ɪ n ə m; aluminum
p ˈ æ s ɪ v; passive
t ˈ ɛ n ə; tenner tenor
t ɹ ˈ ɛ v ə; trevor
k uː w ˈ eɪ t; kuwait
ˈ əʊ v ə h ˌ ɛ d; overhead
ɪ g z ˈ æ m z; exams
s ˈ əʊ f i; sophie
ˈ ɑː l ɪ ŋ t ə n; arlington
k ˈ aʊ n t ə p ˌ ɑː t s; counterparts
t j ˌ uː n ˈ ɪ z ɪə; tunisia
k l ˈ ɪə ɹ ɪ ŋ; clearing
f ˈ ʌ ŋ k; funk
p ɹ ˈ æ k t ɪ s ɪ ŋ; practicing
s p ˈ æ n z; spans
ˈ ɛ l ɪ n ɔː; eleanor
g ˈ ɪ l; gill
p ˈ əʊ s t ɪ ŋ; posting
p ˈ ɑː s p ˌ ɔː t; passport
s k ɹ ˈ ɪ p t s; scripts
p ˈ aʊ n d; pound
h ˈ ɑː d k ˌ ɔː; hardcore
n əʊ t ˈ eɪ ʃ ə n; notation
p ɹ ˈ əʊ s ˌ ɛ s ə; processor
k ˈ əʊ p; cope
s k ɹ ˈ iː n z; screens
ˈ æ g n ɪ s; agnes
l ˈ aʊ d; loud
tʃ ˈ ɛ ʃ ə; cheshire
θ ɹ ˈ ʌ s t; thrust
d ɹ ˈ ʌ ŋ k; drunk
s ˈ ɛ l ə b ɹ ˌ eɪ t ɪ ŋ; celebrating
ɹ ˈ æ t; rat
b ə m j ˈ uː d ə; bermuda
m ˈ ʌ ŋ k i; monkey
ɪ n f l ˈ eɪ ʃ ə n; inflation
ɹ ɪ l ˈ eɪ t s; relates
l ˈ əʊ t ə s; lotus
d ˈ ɛ f; deaf
k ˈ ɔː p ə s; corpus
k ə n t ˈ eɪ n ə; container
k ˈ ɔː t j ˌ ɑː d; courtyard
s ˈ iː z ə; caesar
l ˈ ɒ dʒ ɪ k ə l; logical
dʒ ˈ ɔɪ s; joyce
ˈ æ ŋ g ə l z; angles
p ˈ aɪ k; pike
dʒ ˈ əʊ i; joey
s l ˈ aɪ d; slide
ˌ ɛ k s p l ɔɪ t ˈ eɪ ʃ ə n; exploitation
p ˈ ɜː m ˌ ɪ t s; permits
b ˈ ɑː k; bark
n ɪ g ˈ əʊ ʃ ɪ ˌ eɪ t; negotiate
l ˈ ɒ b i; lobby
b ˈ ɜː d ə n; burden
ɹ ˈ æ ʃ n ə l; rational
p ɹ ə m ˈ əʊ ʃ ə n z; promotions
ə k ˈ ʌ ɹ ə n s; occurrence
f ˈ əʊ n z; phones
k ɹ ˈ ɑː f t s; crafts
f l ˈ ɔɪ d; floyd
w ˈ ɒ ɹ ɪ k; warwick
s ˈ ɔː l z b ə ɹ i; salisbury
t ɹ ˈ eɪ d z; trades
t j ˈ uː n z; tunes
ˈ ɒ f s p ɹ ˌ ɪ ŋ; offspring
p ɹ ə d ˈ ʌ k t ɪ v; productive
s p ˈ aɪ k; spike
n ˈ əʊ d; node
w ˈ ɜː k f ˌ ɔː s; workforce
k ˌ ɒ ɹ ɪ s p ˈ ɒ n d z; corresponds
t ˈ ɛ ɹ ɪ b ə l; terrible
ˌ ɪ m p l ɪ k ˈ eɪ ʃ ə n z; implications
ˈ æ m b j ʊ l ə n s; ambulance
s t ˈ ʌ f; stuff
ˌ ɪ n d ɪ v ˈ ɪ d j ʊə l i; individually
ˈ ɛ m ɪ ɹ ɪ t s; emirates
s ˈ əʊ l z; souls
p ˌ ɒ l ɪ t ˈ ɛ k n ɪ k; polytechnic
n ˈ ɛ t w ˌ ɜː k ɪ ŋ; networking
ˈ aɪ ɹ ɪ s; iris
d ˈ ɛ t s; debts
ɪ n t ˈ ɛ n ʃ ə n z; intentions
h ˈ ɛ v ɪə; heavier
dʒ uː d ˈ ɪ ʃ ə ɹ i; judiciary
s ˈ ɪ n ə d; synod
p ɹ æ k t ˈ ɪ ʃ n ə z; practitioners
s ˈ eɪ l ə; sailor
h ˈ ɒ l i; holly
ɹ ˌ iː p ɹ ə d ˈ ʌ k t ɪ v; reproductive
s ˌ ɪ m ɪ l ˈ æ ɹ ɪ t i; similarity
dʒ ˈ ʌ dʒ d; judged
ɛ n s ˌ aɪ k l əʊ p ˈ iː d ɪə; encyclopedia
d ˈ ɛ d l i; deadly
b ˈ æ g d æ d; baghdad
θ ɹ ˈ əʊ z; throes throws
ˈ iː d ə n; eden
ɪ t ˈ ɜː n ə l; eternal
k ˈ æ n d i; candy
t ˈ ɛ n ə n t s; tenants
ɪ k s p ɹ ˈ ɛ s ɪ ŋ; expressing
b ˈ ʌ k; buck
p ə z ˈ ɛ ʃ ə n z; possessions
ɹ ɪ n j ˈ uː ə l; renewal
l ˈ ɪ s t ɪ ŋ z; listings
s ə s p ˈ ɛ k t s; suspects
p ɹ ˈ ɪ v l ɪ dʒ ɪ z; privileges
h ˈ ɛ m ɪ s f ˌ ɪə; hemisphere
p ˈ ɛ z ə n t s; peasants
ɹ ˌ ɛ v ə l ˈ eɪ ʃ ə n; revelation
b ˈ eɪ s ɪ k l i; basically
s t ɹ ˈ ɪ p s; strips
b ɹ ˈ ɔː d l i; broadly
m ɒ ŋ g ˈ əʊ l ɪə; mongolia
p ɹ ɒ s p ˈ ɛ ɹ ɪ t i; prosperity
g ˈ eɪ b ə l; gable
ɹ ˈ uː b i; ruby
ɪ k s p ɹ ˈ ɛ ʃ ə n z; expressions
t ˈ ɪ p s; tips
k ˈ aʊ n t ɪ ŋ; counting
aɪ d ˈ ɛ n t ɪ f ˌ aɪ z; identifies
ɪ m ˈ ɜː dʒ; emerge
k əʊ ˈ ɔː d ɪ n eɪ t ɪ d; coordinated
ˈ ɛ s ə n s; essence
ə l ˈ ɜː t; alert
k ˈ ɒ n t ɹ ˌ æ k t ə; contractor
h ˈ ɔː k; hawk
p ˈ ɒ t; pot
s p ˈ aɪ ə ɹ ə l; spiral
p ɹ ɪ s ˈ aɪ s l i; precisely
ɪ g z ˌ æ m ɪ n ˈ eɪ ʃ ə n z; examinations
k ə m p ˈ ʌ l s ə ɹ i; compulsory
ə m ˈ æ n d ə; amanda
m ˈ ɒ dʒ uː l z; modules
k ə n k l ˈ uː d z; concludes
θ ɹ ˈ əʊ t; throat
w ˈ eɪ d; wade
ˈ æ d v ɜː s; adverse
p ˈ æ n ɪ k; panic
ɪ n s ˈ ɜː t ɪ d; inserted
f ˈ ʌ n d ɹ ˌ eɪ z ɪ ŋ; fundraising
ɹ ɪ l ˈ ʌ k t ə n t; reluctant
n ˈ aɪ t ɹ ə dʒ ə n; nitrogen
n ˈ əʊ b ə d i; nobody
dʒ ə n ˈ ɛ t ɪ k s; genetics
d ɪ s ə t ˈ eɪ ʃ ə n; dissertation
d ˈ ɛ f ɪ s ɪ t; deficit
k ˈ æ m ə ɹ ˌ uː n; cameroon
h ˈ ʌ ŋ g ə; hunger
ə k ˈ ʌ m p ə n i; accompany
b ɪ h ˈ eɪ v j ə ɹ ə l; behavioral
l ˈ ɔː n; lawn
b ˈ æ ɹ ɪə z; barriers
f l ˈ eɪ m; flame
d ˈ ɒ t; dot
p ˈ ɛ n d ɪ ŋ; pending
m ˈ ɪ n t; mint
d ˈ ɒ n ə; donna
p ɹ ə g ɹ ˈ ɛ ʃ ə n; progression
ɹ ˌ ɛ p ɹ ɪ z ɛ n t ˈ eɪ ʃ ə n z; representations
h j ˈ uː m ɪ d; humid
ɹ ˈ ɛ n t ə l; rental
m ˈ ɪ k i; mickey
p ˈ æ t ɹ ə n ɪ dʒ; patronage
ɹ ɪ f j ˈ uː z ɪ ŋ; refusing
ɹ ˈ ɒ b ə ɹ i; robbery
t ɹ ˈ iː t ɪ ŋ; treating
f ˈ ʌ ŋ g aɪ; fungi
æ n s ˈ ɛ s t ɹ ə l; ancestral
p ˈ aɪ ɹ ɪ t; pirate
n j uː t ɹ ˈ ɪ ʃ ə n; nutrition
l ˈ ɪ n d z i; lindsay lindsey
m ˈ ɑː dʒ ɪ n ə l; marginal
m ˈ aɪ n d z; minds
s ˈ əʊ ʃ ə l ˌ ɪ z ə m; socialism
k ˈ æ n v ə s; canvas
dʒ ˈ ɛ n i; jenny
ʌ n k ˈ ɒ n ʃ ə s; unconscious
ˌ æ b ə l ˈ ɪ ʃ ə n; abolition
k ˈ æ m p ɪ ŋ; camping
d ɪ t ˈ æ tʃ t; detached
k ə n s t ɹ ˈ eɪ n t s; constraints
s w ˈ ɒ m p; swamp
ˈ ɑː n s ə d; answered
t ˌ æ k s ˈ eɪ ʃ ə n; taxation
ɛ k s t ɹ ˈ æ k ʃ ə n; extraction
ʌ m b ɹ ˈ ɛ l ə; umbrella
b ˈ əʊ l ə; bowler
ɹ ˈ ɪ m; rim
ɹ ˈ æ t s; rats
ˌ ɪ n ə v ˈ eɪ ʃ ə n z; innovations
ˈ ɪ n t ɪ m ɪ t; intimate
w ˈ aɪ n z; wines
k ˈ eɪ; kay
f ˈ iː d z; feeds
s ˈ uː p ə v ˌ aɪ z ə; supervisor
ˌ ɪ n t ɹ ə d j ˈ uː s ɪ z; introduces
ə d m ˈ ɪ t s; admits
k w ˌ ɒ l ɪ f ɪ k ˈ eɪ ʃ ə n z; qualifications
f ə ɹ ˈ ɑː ɹ i; ferrari
k ə m p ɹ ˈ aɪ z; comprise
w ˈ eɪ l; wail whale
f l ˈ uː t; flute
ˈ əʊ k s; oaks
l ˌ ɪ t ɪ g ˈ eɪ ʃ ə n; litigation
s t ˈ æ tʃ ʊ t ə ɹ i; statutory
ɪ n f ˈ ɔː m; inform
p ˈ aɪ p s; pipes
f ˈ aɪ; phi
ɪ n f ˈ ɪə ɹ ɪə; inferior
